,content,date,like,place,tags,unix,imgUrl
0,"경주_소소정경주 고급 스파 한옥 스테이""소소정""'소소정'은아름다운 우리의 한옥에 호텔식 감성이넘치는 욕실과 스파를 접목시켜다소 춥고 불편했던 한옥을 아늑하고따뜻한 공간으로 재탄생시킨감성 옥캉스 공간이에요 :)가족 또는 연인과 함께 스파를 즐길 수 있도록넓은 욕조를 마련하였으며창문 너머 오죽을 보며 와인도 만끽할 수 있어요.은은한 달빛의 향기가 느껴지는 누마루는소중한 사람과 담소를 나누기에더 없이 제격이며 이곳에서의 추억은영원한 설렘으로 기억될거에요 :)황리단길에서의 감성여행을소소정으로 이어 스파를 하며 피로를 풀고행복한 힐링을 느끼며감성적인 여행을 마무리해보세요 :)—————————————————🏡'경주 소소정'🚩주소👉경북 경주시 사정로 50번길 10📆예약문의👉sosojung2020.modoo.at/⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 본채 기준 230,000📸Photo by @ur_ong_v @8_8sson @s__.__.__o전국 감성숙소는 #데일리감성경주 감성숙소는 #데일리감성_경주경상북도로 떠난다면 #데일리감성_경북—————————————————",2021-09-28,14,경주 황리단길,"['#데일리감성경주', '#데일리감성_경주경상북도로', '#데일리감성_경북—————————————————']",1632787200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243389459_560317565184598_8568804367637645530_n.webp.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=pYMQj1hqP2gAX-BFrnW&tn=LIU4qCAdVSYlwak9&edm=AP_V10EBAAAA&ccb=7-4&oh=4eb643a08d2f036237c286d39da586a0&oe=615A819A&_nc_sid=4f375e
1,"충주_서유숙펜션천천히 머물다 가는 집""서유숙펜션""'서유숙펜션'은충주에 위치하고 있는한옥 펜션으로 많은 분들에게사랑받는 감성 숙소에요 :)서유숙펜션에는 TV가 없는 대신책들이 꽂혀져 있어 TV없이도행복한 시간을 보낼 수 있어요.감성 넘치는 뷰와 함께고즈넉하면서도 따뜻한 분위기에서의하루는 잊지 못할 추억이 될 거에요 :)아름다운 자연 속에서의 힐링은도심 속에서의 스트레스를 풀 수 있어요.이 곳의 하이라이트인 조식은 SNS에서 이미 유명세를 탔으며계절에 따라 가장 좋은 재료로 만들어져요.서유숙펜션은 중학생 이상 입장가능한노키즈존으로 운영되고 있으니 참고해주세요.자연과 어우러져 가을 힐링을 받고 싶다면서유숙 한옥스테이를 방문해보세요 :)—————————————————🏡'충주 서유숙펜션'🚩주소👉충북 충주시 소태면 덕은로 596📆예약문의👉seo8831.penbang.com/mobile/⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 기준 220,000📸Photo by @yeowon_ @s____young @3249.8.3@i_am_danbi전국 감성숙소는 #데일리감성충주 감성숙소는 #데일리감성_충주 충청북도로 떠난다면 #데일리감성_충북—————————————————",2021-09-28,19,서유숙펜션,"['#데일리감성충주', '#데일리감성_충주', '#데일리감성_충북—————————————————']",1632787200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242976751_215053187284462_7808858966183418335_n.webp.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=t699nQEbnvgAX-A_mzS&edm=AP_V10EBAAAA&ccb=7-4&oh=74c175e9d308fad444ec757fad9ba066&oe=615B0DEA&_nc_sid=4f375e
2,"밀양_석주재프라이빗한 한옥 숙소""석주재""'석주재'는밀양의 프라이빗한 한옥 감성숙소로하루에 2팀만이 예약 가능한독채 숙소여서 조용하게힐링하고 올 수 있는 곳이에요 :)바베큐장이 준비되어 있으며무쇠 솥뚜껑 그리들에가스버너로 준비해주십니다.취사도구는 간단한 조리용으로만준비되어 있으니 참고해주세요.목조주택 특성상 환기 문제로실내에서 냄새가 많이 나는 요리는조리가 불가해요.한옥집의 모든 부분이 깔끔하긴 힘들고재료가 약하기 때문에쉽게 파손되는 경우가 있다는걸이해하고 사용해주세요 :)노천탕은 온수, 냉수 모두 이용 가능하며기름 보일러로 온수를 사용합니다.안전을 위해 cctv가 작동되고 있으니걱정없이 프라이빗하게 사용이 가능해요 :)밀양의 조용한 한옥 숙소에서혼자만의 또는 우리들만의시간을 보내며 추억을 쌓아보세요 :)—————————————————🏡'밀양 석주재'🚩주소👉경남 밀양시 산외면 금곡2길 50📆예약문의👉stoneplay.modoo.at/⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 기준 180,000📸Photo by @co_ew @sonissu @ssun._.9전국 감성숙소는 #데일리감성밀양 감성숙소는 #데일리감성_밀양경상남도로 떠난다면 #데일리감성_경남—————————————————",2021-09-27,22,밀양,"['#데일리감성밀양', '#데일리감성_밀양경상남도로', '#데일리감성_경남—————————————————']",1632700800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243257468_185101730367238_2470840262540065150_n.webp.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=rn_D85gb-iMAX-37Hlj&edm=AP_V10EBAAAA&ccb=7-4&oh=13c541f5d7fa535844b4677361ba0106&oe=615A64BE&_nc_sid=4f375e
3,"양양_팜11스테이산 속에서의 쉼터""팜11스테이""'팜11스테이'는팜11의 가치관과 지향점이맞는 분들이 농장을 체험하시고하루를 보내기 위한산 속 감성스테이에요 :)화려하지도 않고 편한 인프라가있는 것도 아니지만비워내고 덜어내고 쉬어가는휴식을 위한 공간입니다.산 속에 위치해 있어13세 미만의 아이들은 받지 않는노키즈존으로 운영이 되고있어요.4인룸 1채, 2인룸 2채로총 3채가 운영되고 있으며모두 독채이며 테라스가 있어요.방마다 있는 윈도우 베드에서는비가 올 때는 산 속에서운무가 파도치는 모습을 볼 수 있고눈이 올 땐 침엽수 위에 쌓인 눈과산 너머를 볼 수 있으며밤에는 사진에는 담기지 않는무수한 별들과 운이 좋으면별똥별과 은하수까지 볼 수 있다고해요 :)자연 속에 위치한 팜11스테이에서하늘을 바라보며 자연 그대로의모습을 즐기며 힐링의 시간을 보내보세요.—————————————————🏡'양양 팜11스테이'🚩주소👉강원도 양양군 서면 논화리 44-1📆예약문의👉blog.naver.com/haneulhanuel0320⏰체크인 : PM 16:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 기준 200,000📸Photo by @ming___z__ @minmin__roh전국 감성숙소는 #데일리감성양양 감성숙소는 #데일리감성_양양강원도로 떠난다면 #데일리감성_강원—————————————————",2021-09-27,22,Yangyang,"['#데일리감성양양', '#데일리감성_양양강원도로', '#데일리감성_강원—————————————————']",1632700800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243377536_442986747160643_1520542993027518566_n.webp.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Z8HaaGb-aDEAX9Iw_oS&edm=AP_V10EBAAAA&ccb=7-4&oh=ccc19f602ae8754373c99bffb1fe9da1&oe=615AC211&_nc_sid=4f375e
4,"여수_컴온인동남아 이국적 분위기의 감성 숙소""컴온인""'컴온인'은동남아의 이국적인 분위기를가득 담은 아늑한 공간이에요 :)여수 관광 최적의 자리에 위치하고 있어주요 관광지, 맛집, 카페, 액티비티 등어느 곳으로나 걸어서10분 이내의 최단 거리로 갈 수 있어요.커플여행, 우정여행, 나홀로여행 등어떤 목적으로 이곳으로 떠나도만족스러운 여행이 될 거에요.동남아 여행을 그리워 하며 애정을 담아 준비한 공간인만큼게스트분들에게도 이 마음과 분위기가전해지길 바란다고 하십니다 :)해외여행을 떠나기 어려운 상황에동남아 여행이 그립다면이국적인 분위기를 담은 이 곳에서여러분만의 특별한 아침을 맞이해보세요.늘 같은 분위기의 숙소와는 다른일상의 지루함을 떨쳐버릴 수 있는여수 컴온인에서 힐링의 시간을 보내보세요 :)—————————————————🏡'여수 컴온인'🚩주소👉정확한 위치는 예약 후 알 수 있습니다.📆예약문의👉www.airbnb.co.kr/rooms/47481718⏰체크인 : PM 16:00⏰체크아웃 : PM 12:00📍가격정보📍비수기 평일 2박 기준 240,000📸Photo by @chocochip___girl @kma__kma @yo__nal전국 감성숙소는 #데일리감성여수 감성숙소는 #데일리감성_여수 전라남도로 떠난다면 #데일리감성_전남—————————————————",2021-09-26,20,Yeosu,"['#데일리감성여수', '#데일리감성_여수', '#데일리감성_전남—————————————————']",1632614400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243069206_1244853602653754_5749445560056991104_n.webp.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=FFQDQAbWAZoAX8ax9wc&edm=AP_V10EBAAAA&ccb=7-4&oh=27f82e0484db339e18c9a6f7b6b5609c&oe=6159F7FF&_nc_sid=4f375e
5,"강화_문스톤펜션강화도에서 가장 감성적인 숙소""문스톤펜션""'문스톤펜션'은강화도 동막해수욕장 근처에 위치한깔끔한 신축 감성 숙소로2층은 카페, 3층은 숙소,4층은 바베큐장으로 운영되고 있어요 :)통 유리창이 있어 뷰가 너무 좋으며사진찍기에도 딱 좋은 숙소에요.주차는 펜션 1층에 가능하며한 객실당 2대까지 주차가 가능해요.2층에서 운영하는 카페도매우 예뻐서 따로 카페를 찾지 않아도이 곳에서 여유로운 시간을 보낼 수 있어요.천장이 높아서 복층 오피스텔의느낌이 나는 고급스러운 인테리어로꾸며져있고 침대에 누워 바라보는서해 바다 뷰는 정말 아름다워요 :)강화도에서 가장 감성적인 공간에서바다를 바라보며 힐링의 시간을 가져보세요.—————————————————🏡'강화 문스톤펜션'🚩주소👉인천 강화군 화도면 해안남로 1598-10📆예약문의👉www.instagram.com/moonstone.cafe/⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 기준 130,000📸Photo by @a_dorable_pila @bora.kim.71127@jonmat_.taeng @kang__seonmi전국 감성숙소는 #데일리감성강화 감성숙소는 #데일리감성_강화경기도로 떠난다면 #데일리감성_경기—————————————————",2021-09-26,13,강화도,"['#데일리감성강화', '#데일리감성_강화경기도로', '#데일리감성_경기—————————————————']",1632614400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242989061_598072048304177_2064672540944263732_n.webp.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=PF__qx4Jm6wAX-Wx38O&edm=AP_V10EBAAAA&ccb=7-4&oh=117f03110d2c1af8bed20420af3d8551&oe=615AC380&_nc_sid=4f375e
6,"서울_스테이넉넉도심 속 감성적인 한옥 스테이""스테이넉넉""'스테이넉넉'은서울 신설동에 위치한한옥 스테이로 한옥 독채를 통채로 빌려쉬어갈 수 있는 서울 한옥 숙소에요 :)도심 속 숨겨진 한옥의 문을 두드리고들어오는 순간 느리게 흘러가는 시간속에서잠시 머물러 갈 수 있다 라는 의미를 담은서울 한옥 스테이입니다.조용한 한옥 주택가에 위치하고 있으며오래된 한옥을 개조하여 만들어한옥 특유의 선과 여백의 미를 살린전통적인 모습과 현대적인 공간을 함께즐길 수 있도록 디자인되었어요 :)아늑한 중정과 뻥 뚫린 유리창이 있는2개의 침실, 시원하고 넓게 뻗은 마루까지힐링하기에 완벽한 공간이랍니다.도심 속 한옥 감성 숙소에서편안한 휴식을 취하며힐링의 시간을 보내보세요 :)—————————————————🏡'서울 스테이넉넉'🚩주소👉서울시 동대문구 왕산로 5길 13-7📆예약문의👉www.instagram.com/stay_knocknock/⏰체크인 : PM 16:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 기준 약 270,000📸Photo by hongdh__ solsodc0806 @yoonjo__o전국 감성숙소는 서울 감성숙소는 —————————————————",2021-09-25,17,신설동역,[],1632528000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242728570_449645786358028_2598362323457251425_n.webp.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=3DIa6D5UfEEAX_lWIPP&edm=AP_V10EBAAAA&ccb=7-4&oh=fc8c617165c8818a8ec11dfa1c7cf0af&oe=6159F57C&_nc_sid=4f375e
7,"춘천_유포리나의집춘천 한옥 독채 감성숙소""유포리나의집""'유포리나의집'은시골 동네의 좁은 길을따라가다 보면 나오는 춘천의 감성숙소로리틀포레스트를 연상케하는고요하고 감성적인 공간이에요 :)한옥건물과 마당이 매우 넓고특 트인 산뷰와 숲속 뷰를 보고 있으면답답한 마음이 트인답니다.마루에 누워서 풀벌레 소리를 듣고있으면힐링 그 자체가 따로없고포토스팟이 굉장히 많아숙소내에서 사진찍기 놀기에도 좋아요.실내는 한옥 인테리어로고즈넉하고 아늑한 느낌이 들며한옥 숙소에 딱 맞는인테리어 소품들이 곳곳에 배치되어 있어더욱 아늑한 느낌을 받을 수 있어요 :)넓은 마루와 마당에서시원한 바람을 맞으며 휴식을 취해보세요.—————————————————🏡'춘천 유포리나의집'🚩주소👉강원도 춘천시 신북읍 맥국4길 38📆예약문의👉카카오채널 유포리나의집⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 2인 기준 200,000📸Photo by @kiimsom @downlog_@hn_______jxxng전국 감성숙소는 #데일리감성춘천 감성숙소는 #데일리감성_춘천강원도로 떠난다면 #데일리감성_강원—————————————————",2021-09-25,18,춘천,"['#데일리감성춘천', '#데일리감성_춘천강원도로', '#데일리감성_강원—————————————————']",1632528000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242989206_915712072675744_5574557770175152174_n.webp.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=4eJq4gxjnSUAX_Hk5NN&edm=AP_V10EBAAAA&ccb=7-4&oh=7a5a337144a42dae0aa698472f4d1aeb&oe=615B725B&_nc_sid=4f375e
8,"제주_고등어민박제주 동쪽 로맨틱한 감성 숙소""고등어민박""'고등어민박'은제주에서 가장 푸른 빛의 바다를 볼 수 있는제주 북동쪽의 조용한 바닷가 마을한동리에 터를 잡고 있어요 :)고등어회를 처음 먹었을 때질리지 않는 고급스러운 맛,제주 특유의 맛을 느낀 기억으로지은 이름이라고해요.두개의 2인실로 이루어져있으며모든 객실의 구조와 크기가 동일합니다.아늑한 휴식을 위해 침실은 복층으로분리되어 있으며 내부는 차분한 컬러와최소한의 소품들로 채워져있어요.모든 객실의 창을 통해바다가 한 눈에 보이며맑은 날에는 침실에서 저 멀리한라산이 보이기도 해요 :)제주 동쪽 해안 지역의 숨은 명소인한동리에 위치한 고등어민박에서석양을 배경으로 한적한 해변을 산책하거나음악과 함께 책을 읽으며여유로운 힐링의 시간을 보내보세요 :)—————————————————🏡'제주 고등어민박'🚩주소👉제주 제주시 구좌읍 해맞이해안로 1026📆예약문의👉blog.naver.com/stay_mackerel⏰체크인 : PM 16:00⏰체크아웃 : AM 10:30📍가격정보📍비수기 평일 2인 기준 150,000📸Photo by @pm13.29 @complete_long_@chan_aaaaaaaaa전국 감성숙소는 #데일리감성제주 감성숙소는 #데일리감성_제주—————————————————",2021-09-24,13,고등어민박,"['#데일리감성제주', '#데일리감성_제주—————————————————']",1632441600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242918422_145567054382297_1010966273333347105_n.webp.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=XhSQN0GfW64AX_hdqRJ&edm=AP_V10EBAAAA&ccb=7-4&oh=f2fd6ca9d4ab90a40c4072453e0a46ac&oe=615BD4BC&_nc_sid=4f375e
9,"전주_청연전주 감성 독채 한옥스테이""청연""'청연'은전주한옥마을 내에 위치한한옥 독채스테이에요 :)전주 한옥마을 내에서 흔하지 않은층고가 높고 처마가 길게 늘어진독채 한옥숙소에요.대들보를 사용하여 지붕을 높게 쌓아 올렸으며 기존 한옥에 통창을 접목하여개방감을 느낄 수 있도록 공간을 구성했어요.독채 한옥스테이로모든 공간과 시설을 단독으로사용할 수 있으며 한옥 특성상실내 취사는 불가한 점 참고해주세요 :)오후 4시부터 일몰 전까지부엌 통창으로 들어오는 햇빛이매우 아름다우니 간단한 디저트나 저녁을 드시며따스한 햇살을 느껴보세요 :)—————————————————🏡'전주 청연'🚩주소👉전북 전주시 완산구 전주천동로 80-19📆예약문의👉www.airbnb.co.kr/rooms/48385692⏰체크인 : PM 16:00⏰체크아웃 : PM 12:00📍가격정보📍비수기 평일 2인 기준 약 290,000📸Photo by @_byul8전국 감성숙소는 #데일리감성전주 감성숙소는 #데일리감성_전주전라북도로 떠난다면 #데일리감성_전북—————————————————",2021-09-24,15,전주한옥마을,"['#데일리감성전주', '#데일리감성_전주전라북도로', '#데일리감성_전북—————————————————']",1632441600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242771168_964887364089059_7128297163370078414_n.webp.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=WZpUC6wZgdUAX_rUcY2&edm=AP_V10EBAAAA&ccb=7-4&oh=557e477f40662ae2a7575cf7f0edb5ed&oe=615ACE84&_nc_sid=4f375e
