,content,date,like,place,tags,unix,imgUrl
0,"✅ #담양_리소프계절의 흐름에 따라 아름답게 뒤바뀌는 추월산과 담양호를 품은 ""리소프"" 그림 같은 풍경 속에서 오롯이 서로에게 집중하며 자연속에서 힐링하기 좋은 공간이다.전 객실 호수뷰로 문을 열고 들어가면 확 트인 통창으로 보이는 햇살에 반짝이는 호수를 마음껏 즐길 수 있는 공간. 깔끔하면서 차분한 느낌을 주는 화이트톤과 우드톤이 조화롭게 어우러진 내부는 독특한 Y형 구조의 복층부터 기본 복층형, 단층형 등 다양한 테마로 꾸며져 있어 취향대로 골라갈 수 있다. 또한 개별 정원을 가지고 있는 1층 객실과 캠핑에 온 듯한 분위기를 낼 수 있는 2층 객실 테라스에서 자연이 선물해주는 소리를 들으며 쉼을 누릴 수 있다. 별이 쏟아질 듯한 밤하늘을 바라보며 빔 프로젝터로 좋아하는 영화를 보며 하루를 마무리 할 수 있는 공간.건물 가운데 위치한 카페는 숙박 손님만 이용할 수 있는 공간으로 커피나 음료는 물론 정성이 가득 담긴 조식까지 즐길 수 있다. 햇살도 바람도 잠시 쉬어 가는 공간에서 머물렀던 시간이 선물 같은 날로 기억되길 바라는 주인장의 마음을 고스란히 느끼며 행복한 여행을 다녀올 수 있는 공간.✔ 더 많은 담양숙소는 #감성숙소_담양✔ 더 많은 전라남도숙소는 #감성숙소_전라남도📍리소프 (@lisof.pension )📍전라남도 담양군 용면 추월산로 900-7📍평일 240,000원 (A5, 비수기 기준)📍반려동물동반 ❌ 키즈존 ⭕ Contents by Insta. gamsung_curationImage source.insta by @jiyun_h01 insta by @parkhyejinny insta by @dalkom.jinsta by @from___jininsta by @jeongeun_joinsta by @lisof.pension#전라남도 #담양 #리소프 #담양여행 #담양펜션 #담양숙소 #담양숙소추천 #담양감성숙소 #전남펜션 #전남여행 #전남숙소 #감성숙소 #독채펜션 #리소프펜션",2021-09-27,"2,940",전라남도 담양군,"['#담양_리소프계절의', '#감성숙소_담양✔', '#감성숙소_전라남도📍리소프', '#전라남도', '#담양', '#리소프', '#담양여행', '#담양펜션', '#담양숙소', '#담양숙소추천', '#담양감성숙소', '#전남펜션', '#전남여행', '#전남숙소', '#감성숙소', '#독채펜션', '#리소프펜션']",1632700800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242924414_607632610588537_4194671125471930323_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=C1vEdccrbqcAX-COZIk&edm=AP_V10EBAAAA&ccb=7-4&oh=b0c8e9814ee0ff19752577fef1e3fd3d&oe=615AD240&_nc_sid=4f375e
1,"[마감]감성숙소 X 고운 숙박권 이벤트⠀⠀ ✔️ 북촌 한옥마을에서 여유를 누릴 수 있는 ""고운""푸르른 산과 한옥마을, 도시 뷰가 한번에 보이는매력적인 공간으로 '감성숙소'팔로워 여러분을 초대합니다 🧡✔️이벤트 기간: 2021.09.24~2021.09.29 오후 1시✔️당첨 발표: 10.02 스토리로 공지✔️이벤트 내용:- 10월 12일(화) 사랑채 1팀- 10월 12일(화) 안채 1팀⭐️사칭계정 주의해주세요!감성숙소는 절대 개인의 금융정보를 요청하지 않습니다.📌참여방법- 고운 (@gowoon110) 계정 팔로우- 감성숙소 (@gamsung_curation ) 계정 팔로우- 게시물 좋아요 ❤️- 같이 가고 싶은 친구 태그해서 댓글 남기기 !✔️참여방법 조건 미달시 자동적으로 취소됩니다.✔️숙소 방문 이후 리뷰 작성 해주셔야 합니다.✔️비공개 계정은 참여가 어렵습니다.※ 유의사항※* 날짜 변경은 불가합니다.* 타인 양도 불가합니다.* 객실정원 및 기타 준수사항 미준수시, 이용권은 회수됩니다.* 이벤트 참여 시 개인 정보 수집 및 이용에 동의한 것으로 간주합니다.* 수집된 개인 정보는 당첨자 공지, 경품 발송, 이벤트 연계 서비스 안내에 사용되며, 발송 후 30일 이내에 자동 폐기됩니다.- - - - - - - - - - - - - - - - - - - - - - - - - - - - -Contents by Insta. Gamsung_curationImage source.Insta by @gowoon110#고운 #서울고운 #서울여행 #한옥스테이 #서울숙소 #서울펜션 #숙박권이벤트 #무료숙박권 #감성숙소",2021-09-24,"2,178","Bukchon Hanok ,Seoul 북촌한옥마을","['#고운', '#서울고운', '#서울여행', '#한옥스테이', '#서울숙소', '#서울펜션', '#숙박권이벤트', '#무료숙박권', '#감성숙소']",1632441600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242909031_1323114278120635_4340974139822465901_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=oaJAdk2nT-AAX8-1YXN&tn=7iuTc0qFMY-NQ76l&edm=AP_V10EBAAAA&ccb=7-4&oh=39848ab1016ff47e3cefff772b8dd1e2&oe=615AA339&_nc_sid=4f375e
2,"✅ #경주_달무리스테이경주 황리단길에 오래된 한옥을 리모델링해 재탄생 시킨 “달무리스테이” 고즈넉한 한옥의 전통미를 느낄 수 있음과 동시에 현대적인 편리함이 더해진 공간으로 단 한 팀 만을 위한 독채 펜션이다.돌길을 따라 들어가면 대나무와 화산석으로 꾸며진 아름다운 정원과 포근한 햇살을 맞으며 피로를 풀기 좋은 야외 노천탕을 만날 수 있다. 포근한 우드 인테리어로 꾸며진 내부에는 2개의 침실과 2개의 화장실, 거실과 주방, 취사가 가능한 별채 공간으로 나뉘어져 있다. 어느 한 공간도 소홀히 하지 않은 주인장의 배려와 감성을 곳곳에 놓인 소품들에서 느낄 수 있는 공간. 사랑하는 연인, 친구, 가족들과 함께 가도 불편함없이 편안한 힐링을 누릴 수 있다.기분 좋게 불어오는 바람을 맞으며 도란도란 이야기를 나누다 보면 어느새 어둠이 내려앉아 아름답게 빛나는 조명과 함께 불멍까지 즐길 수 있는 공간. 황리단길 중심에 위치해 있는 만큼 주변 맛집이나 관광지 와도 가까워서 경주 여행하기에도 좋다.✔ 더 많은 경주숙소는 #감성숙소_경주✔ 더 많은 경상북도숙소는 #감성숙소_경상북도📍달무리스테이 (@dalmuristay )📍경북 경주시 포석로📍평일 420,000원 (비수기 기준)📍반려동물동반 ❌ 키즈존 ⭕ Contents by Insta. gamsung_curationImage source.insta by @h.youuuinsta by @dalmuristay#경상북도 #경주 #달무리스테이 #경주여행 #경주펜션 #경주독채펜션 #경주숙소 #경주펜션추천 #경주감성숙소 #경북독채펜션 #경북여행 #경북숙소 #경북펜션 #감성숙소 #황남동숙소 #황남동독채 #황남동한옥 #황리단길숙소 #황리단길독채 #황리단길한옥",2021-09-23,"4,841",경주 황리단길,"['#경주_달무리스테이경주', '#감성숙소_경주✔', '#감성숙소_경상북도📍달무리스테이', '#경상북도', '#경주', '#달무리스테이', '#경주여행', '#경주펜션', '#경주독채펜션', '#경주숙소', '#경주펜션추천', '#경주감성숙소', '#경북독채펜션', '#경북여행', '#경북숙소', '#경북펜션', '#감성숙소', '#황남동숙소', '#황남동독채', '#황남동한옥', '#황리단길숙소', '#황리단길독채', '#황리단길한옥']",1632355200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242913241_117096707368018_2962000620047931605_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=NzSHfCoNwz8AX9OUw2W&edm=AP_V10EBAAAA&ccb=7-4&oh=c7d1ac40ff8ff2ca0ede757cf54caa14&oe=615A24CD&_nc_sid=4f375e
3,#감성숙소 🧡사랑하는 사람들과 함께 가기좋은 숙소 BEST9자연 속에서 우리만의 공간을 누릴 수 있는 곳만모아모아 추천드려요✨#서툰가족#리버트리펜션#고운재#중명정원#아르카북스#인더모은#더에스제이펜션#리버노스풀빌라#아르떼하우스-#홍천펜션 #홍천숙소 #남해펜션 #남해숙소 #가평펜션 #가평숙소 #제주펜션 #제주도펜션 #경주펜션 #경주숙소 #평택펜션 #평택숙소 #청도펜션 #청도숙소 #거제펜션 #거제숙소 #울산펜션 #울산숙소 #감성숙소 #독채펜션,2021-09-22,"5,999",대한민국 大韓民國,"['#감성숙소', '#서툰가족', '#리버트리펜션', '#고운재', '#중명정원', '#아르카북스', '#인더모은', '#더에스제이펜션', '#리버노스풀빌라', '#아르떼하우스-', '#홍천펜션', '#홍천숙소', '#남해펜션', '#남해숙소', '#가평펜션', '#가평숙소', '#제주펜션', '#제주도펜션', '#경주펜션', '#경주숙소', '#평택펜션', '#평택숙소', '#청도펜션', '#청도숙소', '#거제펜션', '#거제숙소', '#울산펜션', '#울산숙소', '#감성숙소', '#독채펜션']",1632268800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242421088_534549010980653_5959563370193275322_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=moWtfLl7MqkAX_ywp5I&edm=AP_V10EBAAAA&ccb=7-4&oh=46871bc2cb135cda112a5dc8ded92199&oe=615BE0EE&_nc_sid=4f375e
4,"✅ #서울_여느날옛 모습을 고스란히 간직한 서촌에 조용히 자리잡은 ""여느날"" 한옥의 옛스러움에 낯선 감정을 느끼는 사람들에게 한옥이 가진 고즈넉함과 편안함, 세련됨을 느끼고 갈 수 있도록 고심해서 만든 공간이다.문을 열고 들어가면 사계절 푸르른 소나무가 반겨주는 공간에는 곳곳에 그림과 도자기 등 세월의 흐름을 느낄 수 있는 아름다운 소품들이 한가득 해 구경하는 재미까지 더해진다. 사랑하는 연인, 친구, 가족들과 함께 가도 불편함 없이 즐길 수 있는 3개의 침대와 주방, 거실, 도란도란 이야기를 나누며 피로를 풀기 좋은 족욕탕까지 갖추고 있다. 거실 옆 공간의 툇마루는 독특한 인테리어 감각을 보여줌과 동시에 날씨에 상관없이 한옥의 감성을 느낄 수 있도록 구성한 주인장의 배려까지 느낄 수 있는 공간.평소와 다름없는 여느날이지만 따스한 온기가 가득한 공간에서 소중한 사람들과 선물 같은 하루를 보낼 수 있는 공간. 서촌 마을에 위치해 있는 만큼 주변에 맛집이나 카페, 관광지가 많아서 여행하기에도 좋다.✔ 더 많은 종로숙소는 #감성숙소_종로✔ 더 많은 서울숙소는 #감성숙소_서울📍여느날 (@usualday_)📍서울 종로구 자하문로1길 49-9📍평일 250,000원 (비수기 기준)📍반려동물동반 ❌Contents by Insta. gamsung_curationImage source.insta by @dalkom.j insta by @_danie_einsta by @amourfor_uinsta by @jjin2nyinsta by @usualday_#서울 #종로 #서촌 #여느날 #서울여행 #서울펜션 #서울독채펜션 #서울숙소 #에어비앤비 #서울에어비앤비 #에어비엔비 #감성숙소 #한옥스테이 #한옥숙소 #한옥",2021-09-20,"3,329",,"['#서울_여느날옛', '#감성숙소_종로✔', '#감성숙소_서울📍여느날', '#서울', '#종로', '#서촌', '#여느날', '#서울여행', '#서울펜션', '#서울독채펜션', '#서울숙소', '#에어비앤비', '#서울에어비앤비', '#에어비엔비', '#감성숙소', '#한옥스테이', '#한옥숙소', '#한옥']",1632096000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242539222_357951622726147_5634623891803793266_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=fHkPp20l4rsAX9vUEl0&edm=AP_V10EBAAAA&ccb=7-4&oh=b7b13757354b3df93dc2ee5f68e5b6cd&oe=615B5014&_nc_sid=4f375e
5,"✅ #거제_캄포하우스에메랄드빛 바다가 찬란하게 빛나는 남해안 한려수도에 자리잡은 “캄포하우스” 총 2채로 나뉘어진 독채 펜션으로 키즈 풀빌라 공간과 풀빌라 공간으로 구성되어 있다.자연속에 둘러 쌓인 공간은 깔끔한 외벽 인테리어부터 캠핑 분위기를 낼 수 있는 바비큐 공간, 물놀이를 즐기기 좋은 수영장과 햇살을 가득 머금은 화이트톤 내부의 아기자기한 인테리어까지 주인장의 감성을 담아 섬세하게 꾸며진 공간이다. 곳곳에 나인 크고 작은 창들로 시간의 흐름에 따라 뒤바뀌는 아름다운 풍경을 바라보기 좋다. 2채 모두 침실과 2개의 화장실, 거실과 주방으로 나뉘어져 있는데 가장 큰 차이점은 A동에는 아이들이 놀기 좋은 키즈룸을 갖추고 있고 B동은 카페에 온 듯한 분위기를 느낄 수 있는 카페룸을 갖추고 있는 점이다.아이들이 마음껏 뛰어놀기 좋은 마당과 가만히 앉아 바람을 만끽하기 좋은 평상 등 답답한 일상에서 벗어나 마음 편히 지낼 수 있는 공간이다. 아이들의 체험 공간인 쿠킹 클래스도 함께 운영되고 있으니 참고할 것. 푸르른 숲과 청량한 바다를 바라보며 우리만의 휴식을 누려보는 것은 어떨까.✔ 더 많은 거제숙소는 #감성숙소_거제✔ 더 많은 경상남도숙소는 #감성숙소_경상남도📍캄포하우스 (@campo_house )📍경남 거제시 둔덕면 거제남서로 4520-8📍평일 218,000원 (2인, 비수기 기준)📍반려동물동반 ❌ 키즈존 ⭕Contents by Insta. gamsung_curationImage source.insta by @ddok.dan insta by @deri_nanainsta by bsj1234567insta by @restarea_iinsta by @l_eunseo_oinsta by @campo_houseinsta by @dbfldkblog by @qkrtmxj85#경상남도 #거제 #캄포하우스 #거제여행 #거제펜션 #거제숙소 #거제독채펜션 #거제풀빌라 #거제감성숙소 #경남여행 #경남펜션 #감성숙소 #거제풀빌라펜션 #키즈펜션 #거제키즈펜션",2021-09-17,"3,105",거제도,"['#거제_캄포하우스에메랄드빛', '#감성숙소_거제✔', '#감성숙소_경상남도📍캄포하우스', '#경상남도', '#거제', '#캄포하우스', '#거제여행', '#거제펜션', '#거제숙소', '#거제독채펜션', '#거제풀빌라', '#거제감성숙소', '#경남여행', '#경남펜션', '#감성숙소', '#거제풀빌라펜션', '#키즈펜션', '#거제키즈펜션']",1631836800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242160773_392999388999853_8077029653227404166_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=uDi7R3MWU7UAX_948kY&edm=AP_V10EBAAAA&ccb=7-4&oh=18f469d05823270e95d32151e062c175&oe=615A88F6&_nc_sid=4f375e
6,"[마감]감성숙소 X 웨이포인트풀빌라 숙박권 이벤트⠀⠀✔️ 그림 같은 풍경을 만들어내는 남해 바다를 만끽하기 좋은 ""웨이포인트""청량한 바다를 바라보며 수영장, 노천탕, 욕조까지 모두 즐길 수 있는 공간으로 '감성숙소' 팔로워 여러분을 초대합니다🌊 ✔️이벤트 기간: 2021.09.16~2021.09.22 오후 1시✔️당첨 발표: 공지 완료✔️이벤트 내용:- 10월 14(목) 1팀- 10월 19(화) 1팀- 10월 23(토) 1팀⭐️사칭계정 주의해주세요!감성숙소는 절대 개인의 금융정보를 요청하지 않습니다.📌참여방법- 웨이포인트풀빌라 (@waypoint_pv) 계정 팔로우- 감성숙소 (@gamsung_curation ) 계정 팔로우- 게시물 좋아요💖- 같이 가고 싶은 친구 태그해서 댓글 남기기✔️참여방법 조건 미달시 자동적으로 취소됩니다.✔️숙소 방문 이후 리뷰 작성 해주셔야 합니다.✔️비공개 계정은 참여가 어렵습니다.※ 유의사항※* 날짜 변경 및 선택 불가합니다.* 타인 양도 불가합니다.* 객실정원 및 기타 준수사항 미준수시, 이용권은 회수됩니다.* 이벤트 참여 시 개인 정보 수집 및 이용에 동의한 것으로 간주합니다.* 수집된 개인 정보는 당첨자 공지, 경품 발송, 이벤트 연계 서비스 안내에 사용되며, 발송 후 30일 이내에 자동 폐기됩니다.- - - - - - - - - - - - - - - - - - - - - - - - - - - - -Contents by Insta. Gamsung_curationImage source. Insta by @shin_mi_Insta by @yeon_627Insta by @mirish_iyaInsta by @d____young_#웨이포인트 #웨이포인트풀빌라 #남해여행 #남해풀빌라 #남해숙소 #남해펜션 #숙박권이벤트 #무료숙박권 #감성숙소",2021-09-16,"3,340",waypoint_pv,"['#웨이포인트', '#웨이포인트풀빌라', '#남해여행', '#남해풀빌라', '#남해숙소', '#남해펜션', '#숙박권이벤트', '#무료숙박권', '#감성숙소']",1631750400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242081833_599433224800301_3529777633378783391_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Q1KUsbpMdZUAX8UyJH3&edm=AP_V10EBAAAA&ccb=7-4&oh=e28884651a1f8fd19f2ac5a67d27fc09&oe=615B78CE&_nc_sid=4f375e
7,"✅ #서울_고운북촌 한옥마을 높은 언덕길 위에서 여유를 느끼며 힐링하기 좋은 ""고운"" 넓은 통창으로 보이는 아름다운 풍경은 과거(인왕산), 현재(기와집), 미래(도시) 총 3가지의 시간이 공존하는 독특한 전경을 경험할 수 있는 공간이다.긴 통로를 통해 들어가면 오롯이 우리 만을 위한 공간을 만날 수 있는데 한옥의 전통을 고스란히 간직함과 동시에 현대적인 감각을 더해 만든 공간이다. 큰 채와 작은 채로 나뉘어진 공간에서 사랑하는 사람과 한옥에서만 느낄 수 있는 고즈넉함과 아늑함을 누릴 수 있다. 두 공간 모두 개별적인 마당과 피로를 풀기 좋은 욕조까지 갖추고 있어 복잡한 생각들을 비우고 오기에도 좋다. 어둑해진 밤하늘을 배경삼아 빔프로젝트로 좋아하는 영화를 바라보며 하루를 마무리 할 수도 있다. 따뜻한 차를 마시며 도란도란 이야기하다 보면 어느새 붉게 물들어가는 하늘과 산, 한옥마을의 풍경에 감탄을 금치 못할 것이다. 고요함이 주는 평화로움 속에서 서로에게 집중하며 숙소 안에만 머물러도 좋고 북촌 한옥마을 안에 위치해 있는 만큼 주변 맛집이나 카페, 관광지 와도 가까워서 여행하기에도 좋다.✔ 더 많은 종로숙소는 #감성숙소_종로✔ 더 많은 서울숙소는 #감성숙소_서울📍고운 (@gowoon110)📍서울 종로구 북촌로12길 35-1📍평일 200,000원 (사랑채, 비수기 기준)📍반려동물동반 ❌Contents by Insta. gamsung_curationImage source.insta by @byeonnoodleinsta by @gowoon110#서울 #종로 #북촌 #고운 #서울여행 #서울펜션 #서울독채펜션 #서울숙소 #에어비앤비 #서울에어비앤비 #에어비엔비 #감성숙소 #한옥스테이 #한옥숙소 #한옥 #서울한옥스테이",2021-09-15,"1,258","Bukchon Hanok ,Seoul 북촌한옥마을","['#서울_고운북촌', '#감성숙소_종로✔', '#감성숙소_서울📍고운', '#서울', '#종로', '#북촌', '#고운', '#서울여행', '#서울펜션', '#서울독채펜션', '#서울숙소', '#에어비앤비', '#서울에어비앤비', '#에어비엔비', '#감성숙소', '#한옥스테이', '#한옥숙소', '#한옥', '#서울한옥스테이']",1631664000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242008576_376060960732611_208656494622575125_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=9yExCEPwuhUAX-IZevh&edm=AP_V10EBAAAA&ccb=7-4&oh=a211779aebfefab1e1a4926176ee69a8&oe=615A7E3C&_nc_sid=4f375e
8,"✅ #가평_리버노스풀빌라잔잔하게 흐르는 북한강을 바라보며 자연속에서 힐링하기 좋은 “리버노스풀빌라” 가평과 춘천의 경계선에 위치한 만큼 서울에서 가까우면서 계절의 흐름에 따라 아름답게 뒤바뀌는 자연을 누리기에 좋은 공간이다. 확 트인 통창이 매력적인 공간은 크게 복층 공간과 원룸 형식으로 나뉘어져 있는데 전체적으로 깔끔하며 시원한 느낌을 주는 화이트톤으로 꾸며져 있다. A, B동의 1층에는 계절에 상관없이 언제든 물놀이를 즐길 수 있는 수영장과 스파 시설, 실내 바비큐 공간, 거실로 구성되어 있으며 2층에는 오롯이 쉼에만 집중할 수 있도록 포근한 침실로 구성되어 있다. C동은 한 층에 수영장과 스파 시설을 갖춘 공간과 스파 시설을 갖춘 공간으로 나뉘어져 있어 취향대로 골라 갈 수 있다.조용하고 아늑한 공간에서 바람소리, 새소리를 배경삼아 도란도란 이야기 나누며 하루를 즐기다 보면 어느새 별이 쏟아질 듯한 밤하늘까지 선물 받을 수 있다. 아침고요수목원, 남이섬, 용추계곡 등 주변 관광지와도 가깝게 위치해 있어서 가평, 춘천 여행에도 좋다. ✔ 더 많은 가평숙소는 #감성숙소_가평✔ 더 많은 경기도숙소는 #감성숙소_경기도📍리버노스풀빌라 (@river_north_pension )📍강원 춘천시 남산면 서천리 330-6📍평일 259,000원 (C동 풀빌라, 9~10월 기준)📍반려동물동반 ❌ 키즈존 ⭕ Contents by Insta. gamsung_curationImage source.insta by @sso_danim insta by @haruy00nseulinsta by @yeeeelime insta by @gg_omininsta by @river_north_pension#경기도 #가평 #리버노스풀빌라 #리버노스펜션 #리버노스 #가평여행 #가평펜션 #가평풀빌라 #남이섬풀빌라 #남이섬 #남이섬펜션 #춘천여행 #춘천펜션 #춘천독채펜션 #춘천풀빌라 #풀빌라 #감성숙소 #강원도 #춘천 #감성숙소_춘천 #감성숙소_강원도",2021-09-14,949,가평 남이섬,"['#가평_리버노스풀빌라잔잔하게', '#감성숙소_가평✔', '#감성숙소_경기도📍리버노스풀빌라', '#경기도', '#가평', '#리버노스풀빌라', '#리버노스펜션', '#리버노스', '#가평여행', '#가평펜션', '#가평풀빌라', '#남이섬풀빌라', '#남이섬', '#남이섬펜션', '#춘천여행', '#춘천펜션', '#춘천독채펜션', '#춘천풀빌라', '#풀빌라', '#감성숙소', '#강원도', '#춘천', '#감성숙소_춘천', '#감성숙소_강원도']",1631577600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/241793542_887484952182536_2256852715856357037_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=muci-g3Et5sAX_TdYA_&tn=7iuTc0qFMY-NQ76l&edm=AP_V10EBAAAA&ccb=7-4&oh=c0ccd8d253b0f88897f4ae01c3c99892&oe=615B9376&_nc_sid=4f375e
9,"✅ #전주_노송오재1970년대 지어진 한옥의 멋과 현대의 라이프 스타일을 주인장만의 감성을 담아 만든 ""노송오재"" 사랑하는 사람들과 아늑한 공간에서 오롯이 쉼을 누릴 수 있도록 구성되어 있다.한옥을 품으며 모든 공간에서 바람과 볕을 느낄 수 있는 작은 마당은 세월을 간직한 팽나무 그늘 속 툇마루에 앉아 도란도란 이야기를 나누기에 좋다. 높은 천장으로 개방감을 주며 곳곳에 놓인 고가구들과 아기자기한 소품까지 한옥의 감성을 느낄 수 있도록 꾸며져 있다. 돌사이로 떨이지는 물을 담은 옥빛의 자쿠지에서 아름답게 꾸며진 작은 정원을 감상하며 피로를 풀기 좋은 공간. 포근한 침실에 누워 빔프로젝터로 TV나 좋아하는 영화를 보며 하루를 마무리하기에도 좋다.포근한 햇살이 내리쬐는 낮부터 고요한 밤하늘에 은은하게 빛나는 한옥까지 시간의 흐름에 따라 뒤바뀌는 한옥의 매력을 느껴보는 것을 추천. 조용한 골목에 자리잡은 공간이지만 도보로 대형마트를 이용할 수 있을 만큼 주변에 편의 시설도 많으며 한옥 마을과도 가까워서 관광하기에도 좋다. ✔ 더 많은 전주숙소는 #감성숙소_전주✔ 더 많은 전라북도숙소는 #감성숙소_전라북도📍노송오재 (@nosong_ojae )📍전라북도 전주시 완산구 문화1길📍평일 350,000원 (비수기 기준)Contents by Insta. gamsung_curationImage source.insta by @nosong_ojae#전라북도 #전주 #노송오재 #전주여행 #전주한옥마을 #한옥마을 #전주숙소 #전주펜션 #전주한옥스테이 #전주독채펜션 #감성숙소 #감성스테이 #에어비앤비 #전주에어비앤비 #전북여행 #전북숙소 #전북펜션 #전주감성숙소",2021-09-13,"2,175",전주 한옥마을 Jeonju Hanok Village,"['#전주_노송오재1970년대', '#감성숙소_전주✔', '#감성숙소_전라북도📍노송오재', '#전라북도', '#전주', '#노송오재', '#전주여행', '#전주한옥마을', '#한옥마을', '#전주숙소', '#전주펜션', '#전주한옥스테이', '#전주독채펜션', '#감성숙소', '#감성스테이', '#에어비앤비', '#전주에어비앤비', '#전북여행', '#전북숙소', '#전북펜션', '#전주감성숙소']",1631491200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/241985679_628569121443673_2980288438271049862_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=KbmpYHwwbwwAX_dPnHc&edm=AP_V10EBAAAA&ccb=7-4&oh=0f449465ec8ece832f5f62d537924ebb&oe=615B3F04&_nc_sid=4f375e
