,content,date,like,place,tags,unix,imgUrl
0,"[#EVENT ]감성숙소 X 여느날 숙박권 이벤트⠀⠀✔️ 옛 모습을 고스란히 간직한 서촌에 위치한 ""여느날""한옥이 가진 고즈넉함과 편안함, 세련됨을 느낄수 있도록고심해서 만든 공간으로 '감성숙소' 팔로워 여러분을 초대합니다 🤎✔️이벤트 기간: 2021.10.04~2021.10.10 오후 1시✔️당첨 발표: 10.14 스토리로 공지✔️이벤트 내용:- 10월 19일(화) 1팀- 11월 2일(화) 1팀📌참여방법- 여느날 (@usualday_ ) 계정 팔로우- 감성숙소 (@gamsung_curation ) 계정 팔로우- 게시물 좋아요 ❤️- 같이 가고 싶은 친구 태그해서 댓글 남기기 !⭐️사칭계정 주의해주세요!감성숙소는 절대 개인의 금융정보를 요청하지 않습니다.✔️참여방법 조건 미달시 자동적으로 취소됩니다.✔️숙소 방문 이후 리뷰 작성 해주셔야 합니다.✔️비공개 계정은 참여가 어렵습니다.※ 유의사항※* 날짜 선택 및 변경은 불가합니다.* 타인 양도 불가합니다.* 객실정원 및 기타 준수사항 미준수시, 이용권은 회수됩니다.* 이벤트 참여 시 개인 정보 수집 및 이용에 동의한 것으로 간주합니다.* 수집된 개인 정보는 당첨자 공지, 경품 발송, 이벤트 연계 서비스 안내에 사용되며, 발송 후 30일 이내에 자동 폐기됩니다.- - - - - - - - - - - - - - - - - - - - - - - - - - - - -Contents by Insta. Gamsung_curationImage source.Insta by @dalkom.j Insta by @_danie_eInsta by @usualday_#여느날 #서울여느날 #서울여행 #한옥스테이 #서울숙소 #서울펜션 #서촌숙소 #숙박권이벤트 #무료숙박권 #감성숙소",2021-10-04,615,서촌,"['#EVENT', '#여느날', '#서울여느날', '#서울여행', '#한옥스테이', '#서울숙소', '#서울펜션', '#서촌숙소', '#숙박권이벤트', '#무료숙박권', '#감성숙소']",1633305600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/244277013_407667217427667_5258439331799457523_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=0msYhaOb0ukAX_got2h&edm=AP_V10EBAAAA&ccb=7-4&oh=f131bab93318439aa120710db75e5cef&oe=6161769E&_nc_sid=4f375e
1,"✅ #영덕_하저스테이한적하고 푸른 바다를 바라볼 수 있는 언덕 위에 새롭게 탄생한 ""하저스테이"" 오롯이 한 팀 만을 위한 공간으로 오션뷰와 마운틴뷰를 동시에 즐길 수 있는 자연 속 힐링 공간이다.깔끔한 화이트톤의 외부부터 따뜻한 우드톤과 화사한 화이트톤이 어우러진 내부는 카페에 온 듯한 감성적인 인테리어와 아기자기한 소품들로 꾸며져 있다. 확 트인 통창으로 바다와 숲을 바라보며 물놀이를 즐길 수 있는 야외 수영장부터 2개의 침실, 3개의 화장실, 주방과 거실로 나뉘어져 있어 가족, 친구, 연인들과 함께 가도 불편함 없이 즐길 수 있다. 주변에 영덕 대게 거리가 있기 때문에 대게를 사와서 먹어도 좋고 장작으로 불 피우는 화덕에서 고기를 구워 먹을 수도 있다.별이 쏟아질 듯한 밤하늘을 배경삼아 불멍을 즐기며 하루를 마무리하기 좋은 공간. 주변에 하저해수욕장이나 알려지지 않은 숨은 관광지 등 다양한 볼거리까지 갖추고 있어 관광하기에도 좋다.✔ 더 많은 영덕숙소는 #감성숙소_영덕✔ 더 많은 경상북도숙소는 #감성숙소_경상북도📍하저스테이 (@hajeostay )📍경북 영덕군 강구면 하저길 419-10📍평일 350,000원 (비수기 기준)📍반려동물동반 ❌ 키즈존 ⭕ Contents by Insta. gamsung_curationImage source.insta by @flower_.chachainsta by @dear.yurainsta by @_mallang__d_insta by @_danie_e #경상북도 #영덕 #하저스테이 #영덕여행 #영덕펜션 #영덕독채펜션 #영덕숙소 #영덕풀빌라 #영덕감성숙소 #경북독채펜션 #경북여행 #경북숙소 #경북펜션 #감성숙소 #풀빌라 #포항펜션 #독채펜션 #하저해수욕장 #감성펜션",2021-10-03,"1,707",영덕,"['#영덕_하저스테이한적하고', '#감성숙소_영덕✔', '#감성숙소_경상북도📍하저스테이', '#경상북도', '#영덕', '#하저스테이', '#영덕여행', '#영덕펜션', '#영덕독채펜션', '#영덕숙소', '#영덕풀빌라', '#영덕감성숙소', '#경북독채펜션', '#경북여행', '#경북숙소', '#경북펜션', '#감성숙소', '#풀빌라', '#포항펜션', '#독채펜션', '#하저해수욕장', '#감성펜션']",1633219200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/244226443_998193557417531_3501166321191119065_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=mPtgbGWNYKYAX9Iblro&edm=AP_V10EBAAAA&ccb=7-4&oh=bef7ca98deed7e325c25023fedcc6b8d&oe=61625FBA&_nc_sid=4f375e
2,"✅ #포항_하루풀빌라눈부시게 빛나는 에메랄드 빛 바다를 바라보며 쉼을 누릴 수 있는 “하루풀빌라” 물 위의 누각이란 뜻을 가진 공간인만큼 확 트인 통창으로 아름다운 동해 바다를 만끽할 수 있는 공간이다.총 3객실로 나뉘어진 공간은 전 객실 오션뷰로 바다를 바라보며 우리만의 공간에서 힐링하기 좋다. 전체적으로 높은 층고에 깔끔한 화이트톤으로 꾸며져 있는데 지친 일상에서 쌓인 피로를 풀기 좋은 스파 시설까지 개별적으로 갖추고 있다. 야외 수영장을 즐길 수 있는 101호, 실내 수영장에서 물놀이하기 좋은 201호, 루프탑 수영장과 야외 스파 시설, 3개의 침대를 갖춘 복층의 301호까지 다양한 테마로 꾸며져 있어 취향대로 골라가는 재미까지 더해진다. 가만히 앉아 파도소리를 배경삼아 자연과 함께 서로에게 집중하는 시간을 가질 수 있는 공간.오래도록 간직하며 자주 꺼내볼 수 있는 소중한 기억이 “하루풀빌라”에서 만들어지길 바라는 주인장의 배려를 모든 공간에서 느낄 수 있는 공간. 시간의 흐름에 따라 아름다운 색감을 그려내는 하늘과 바다의 풍경을 바라보며 사랑하는 사람과 행복한 추억을 선물 받아오는 것은 어떨까. ✔ 더 많은 포항숙소는 #감성숙소_포항✔ 더 많은 경상북도숙소는 #감성숙소_경상북도📍하루풀빌라 (@haru_poolvilla )📍경북 포항시 남구 호미곶면 일출로 530📍평일 420,000원 (101호, 비수기 기준)📍반려동물동반 ❌ 키즈존 ⭕Contents by Insta. gamsung_curationImage source.insta by @pongnim_c insta by @s_in__pinsta by @ssovely1024insta by @dalkom.j insta by @haru_poolvilla #경상북도 #포항 #하루풀빌라 #포항여행 #포항펜션 #포항독채펜션 #포항스파펜션 #포항풀빌라 #경북여행 #경북펜션 #경북풀빌라 #오션뷰 #오션뷰펜션 #감성숙소 #풀빌라",2021-10-01,"1,706",포항,"['#포항_하루풀빌라눈부시게', '#감성숙소_포항✔', '#감성숙소_경상북도📍하루풀빌라', '#경상북도', '#포항', '#하루풀빌라', '#포항여행', '#포항펜션', '#포항독채펜션', '#포항스파펜션', '#포항풀빌라', '#경북여행', '#경북펜션', '#경북풀빌라', '#오션뷰', '#오션뷰펜션', '#감성숙소', '#풀빌라']",1633046400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/244157375_970054930209833_5918811202945104125_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=RlgnAB7R6loAX89EAFb&tn=zGcAcv98M6o3Qjty&edm=AP_V10EBAAAA&ccb=7-4&oh=61324cc8d37d7dc1247d2aa8d08752b2&oe=61623936&_nc_sid=4f375e
3,"✅ #서울_파크하얏트서울서울의 비즈니스와 쇼핑의 중심지 강남에서 화려한 도시 전망을 즐길 수 있는 ""파크하얏트서울"" 빌딩숲을 바라보며 물놀이를 할 수 있는 수영장, 조식과 애프너눈 티 등 다양한 메뉴를 갖춘 레스토랑, 피트니스 등 다양한 시설을 갖춘 만큼 도심 한복판에서 여유로운 시간을 보낼 수 있는 공간이다.확 트인 통창으로 따스한 햇살을 만끽하며 힐링하기 좋은 공간은 총 184개의 객실을 갖추고 있으며 모든 객실에 욕조를 갖춘 것이 특징이다. 객실 면적으로 나뉘어진 공간은 스탠다드, 디럭스, 스위트로 구성되어 있으며 고층과 도심전망 등 선택지도 다양해서 취향대로 골라갈 수 있다.아름답게 물들어가는 노을부터 반짝반짝 빛나는 도시의 야경을 바라보며 힐링하기 좋다. 삼성역 바로 앞에 위치해 있는 만큼 코엑스나 주변 맛집, 관광지와도 가까워서 여행하기에도 좋은 공간.✔ 더 많은 강남숙소는 #감성숙소_강남✔ 더 많은 서울숙소는 #감성숙소_서울📍파크하얏트서울 📍서울특별시 강남구 테헤란로 606📍평일 410,000원대 (디럭스 도심전망, 비수기 기준)📍반려동물동반 ❌ 키즈존 ⭕Contents by Insta. gamsung_curationImage source.insta by @yixoyninsta by @oh_inyoung insta by @_limsuuu_#서울 #강남 #파크하얏트서울 #하얏트호텔 #하얏트 #서울여행 #서울호텔 #서울가볼만한곳 #서울데이트코스 #서울데이트장소 #서울숙소추천 #호캉스 #서울호텔추천 #감성숙소 #호텔뷰 #시티뷰 #도심뷰",2021-09-29,"3,013",Park Hyatt Seoul - 파크하얏트서울,"['#서울_파크하얏트서울서울의', '#감성숙소_강남✔', '#감성숙소_서울📍파크하얏트서울', '#서울', '#강남', '#파크하얏트서울', '#하얏트호텔', '#하얏트', '#서울여행', '#서울호텔', '#서울가볼만한곳', '#서울데이트코스', '#서울데이트장소', '#서울숙소추천', '#호캉스', '#서울호텔추천', '#감성숙소', '#호텔뷰', '#시티뷰', '#도심뷰']",1632873600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/243161222_549509789457710_5737579423827091801_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=etAP4J-TLjAAX-edI38&tn=zGcAcv98M6o3Qjty&edm=AP_V10EBAAAA&ccb=7-4&oh=f26a4856fda65707e9ca0f99808c19a4&oe=6161709B&_nc_sid=4f375e
4,"✅ #담양_리소프계절의 흐름에 따라 아름답게 뒤바뀌는 추월산과 담양호를 품은 ""리소프"" 그림 같은 풍경 속에서 오롯이 서로에게 집중하며 자연속에서 힐링하기 좋은 공간이다.전 객실 호수뷰로 문을 열고 들어가면 확 트인 통창으로 보이는 햇살에 반짝이는 호수를 마음껏 즐길 수 있는 공간. 깔끔하면서 차분한 느낌을 주는 화이트톤과 우드톤이 조화롭게 어우러진 내부는 독특한 Y형 구조의 복층부터 기본 복층형, 단층형 등 다양한 테마로 꾸며져 있어 취향대로 골라갈 수 있다. 또한 개별 정원을 가지고 있는 1층 객실과 캠핑에 온 듯한 분위기를 낼 수 있는 2층 객실 테라스에서 자연이 선물해주는 소리를 들으며 쉼을 누릴 수 있다. 별이 쏟아질 듯한 밤하늘을 바라보며 빔 프로젝터로 좋아하는 영화를 보며 하루를 마무리 할 수 있는 공간.건물 가운데 위치한 카페는 숙박 손님만 이용할 수 있는 공간으로 커피나 음료는 물론 정성이 가득 담긴 조식까지 즐길 수 있다. 햇살도 바람도 잠시 쉬어 가는 공간에서 머물렀던 시간이 선물 같은 날로 기억되길 바라는 주인장의 마음을 고스란히 느끼며 행복한 여행을 다녀올 수 있는 공간.✔ 더 많은 담양숙소는 #감성숙소_담양✔ 더 많은 전라남도숙소는 #감성숙소_전라남도📍리소프 (@lisof.pension )📍전라남도 담양군 용면 추월산로 900-7📍평일 240,000원 (A5, 비수기 기준)📍반려동물동반 ❌ 키즈존 ⭕ Contents by Insta. gamsung_curationImage source.insta by @jiyun_h01 insta by @parkhyejinny insta by @dalkom.jinsta by @from___jininsta by @jeongeun_joinsta by @lisof.pension#전라남도 #담양 #리소프 #담양여행 #담양펜션 #담양숙소 #담양숙소추천 #담양감성숙소 #전남펜션 #전남여행 #전남숙소 #감성숙소 #독채펜션 #리소프펜션",2021-09-27,"3,208",전라남도 담양군,"['#담양_리소프계절의', '#감성숙소_담양✔', '#감성숙소_전라남도📍리소프', '#전라남도', '#담양', '#리소프', '#담양여행', '#담양펜션', '#담양숙소', '#담양숙소추천', '#담양감성숙소', '#전남펜션', '#전남여행', '#전남숙소', '#감성숙소', '#독채펜션', '#리소프펜션']",1632700800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242924414_607632610588537_4194671125471930323_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=NmzIUDrj_EgAX9rPaF0&edm=AP_V10EBAAAA&ccb=7-4&oh=b61310d7709208500e559faffe252a0f&oe=6160C100&_nc_sid=4f375e
5,"[마감]감성숙소 X 고운 숙박권 이벤트⠀⠀ ✔️ 북촌 한옥마을에서 여유를 누릴 수 있는 ""고운""푸르른 산과 한옥마을, 도시 뷰가 한번에 보이는매력적인 공간으로 '감성숙소'팔로워 여러분을 초대합니다 🧡✔️이벤트 기간: 2021.09.24~2021.09.29 오후 1시✔️당첨 발표: 공지 완료!✔️이벤트 내용:- 10월 12일(화) 사랑채 1팀- 10월 12일(화) 안채 1팀⭐️사칭계정 주의해주세요!감성숙소는 절대 개인의 금융정보를 요청하지 않습니다.📌참여방법- 고운 (@gowoon110) 계정 팔로우- 감성숙소 (@gamsung_curation ) 계정 팔로우- 게시물 좋아요 ❤️- 같이 가고 싶은 친구 태그해서 댓글 남기기 !✔️참여방법 조건 미달시 자동적으로 취소됩니다.✔️숙소 방문 이후 리뷰 작성 해주셔야 합니다.✔️비공개 계정은 참여가 어렵습니다.※ 유의사항※* 날짜 변경은 불가합니다.* 타인 양도 불가합니다.* 객실정원 및 기타 준수사항 미준수시, 이용권은 회수됩니다.* 이벤트 참여 시 개인 정보 수집 및 이용에 동의한 것으로 간주합니다.* 수집된 개인 정보는 당첨자 공지, 경품 발송, 이벤트 연계 서비스 안내에 사용되며, 발송 후 30일 이내에 자동 폐기됩니다.- - - - - - - - - - - - - - - - - - - - - - - - - - - - -Contents by Insta. Gamsung_curationImage source.Insta by @gowoon110#고운 #서울고운 #서울여행 #한옥스테이 #서울숙소 #서울펜션 #숙박권이벤트 #무료숙박권 #감성숙소",2021-09-24,"2,178","Bukchon Hanok ,Seoul 북촌한옥마을","['#고운', '#서울고운', '#서울여행', '#한옥스테이', '#서울숙소', '#서울펜션', '#숙박권이벤트', '#무료숙박권', '#감성숙소']",1632441600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242909031_1323114278120635_4340974139822465901_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=d3D0CEv-DZQAX_wX5LS&tn=zGcAcv98M6o3Qjty&edm=AP_V10EBAAAA&ccb=7-4&oh=08fd1a3c0b072edfcb131b5f6ddbd633&oe=616091F9&_nc_sid=4f375e
6,"✅ #경주_달무리스테이경주 황리단길에 오래된 한옥을 리모델링해 재탄생 시킨 “달무리스테이” 고즈넉한 한옥의 전통미를 느낄 수 있음과 동시에 현대적인 편리함이 더해진 공간으로 단 한 팀 만을 위한 독채 펜션이다.돌길을 따라 들어가면 대나무와 화산석으로 꾸며진 아름다운 정원과 포근한 햇살을 맞으며 피로를 풀기 좋은 야외 노천탕을 만날 수 있다. 포근한 우드 인테리어로 꾸며진 내부에는 2개의 침실과 2개의 화장실, 거실과 주방, 취사가 가능한 별채 공간으로 나뉘어져 있다. 어느 한 공간도 소홀히 하지 않은 주인장의 배려와 감성을 곳곳에 놓인 소품들에서 느낄 수 있는 공간. 사랑하는 연인, 친구, 가족들과 함께 가도 불편함없이 편안한 힐링을 누릴 수 있다.기분 좋게 불어오는 바람을 맞으며 도란도란 이야기를 나누다 보면 어느새 어둠이 내려앉아 아름답게 빛나는 조명과 함께 불멍까지 즐길 수 있는 공간. 황리단길 중심에 위치해 있는 만큼 주변 맛집이나 관광지 와도 가까워서 경주 여행하기에도 좋다.✔ 더 많은 경주숙소는 #감성숙소_경주✔ 더 많은 경상북도숙소는 #감성숙소_경상북도📍달무리스테이 (@dalmuristay )📍경북 경주시 포석로📍평일 420,000원 (비수기 기준)📍반려동물동반 ❌ 키즈존 ⭕ Contents by Insta. gamsung_curationImage source.insta by @h.youuuinsta by @dalmuristay#경상북도 #경주 #달무리스테이 #경주여행 #경주펜션 #경주독채펜션 #경주숙소 #경주펜션추천 #경주감성숙소 #경북독채펜션 #경북여행 #경북숙소 #경북펜션 #감성숙소 #황남동숙소 #황남동독채 #황남동한옥 #황리단길숙소 #황리단길독채 #황리단길한옥",2021-09-23,"4,925",경주 황리단길,"['#경주_달무리스테이경주', '#감성숙소_경주✔', '#감성숙소_경상북도📍달무리스테이', '#경상북도', '#경주', '#달무리스테이', '#경주여행', '#경주펜션', '#경주독채펜션', '#경주숙소', '#경주펜션추천', '#경주감성숙소', '#경북독채펜션', '#경북여행', '#경북숙소', '#경북펜션', '#감성숙소', '#황남동숙소', '#황남동독채', '#황남동한옥', '#황리단길숙소', '#황리단길독채', '#황리단길한옥']",1632355200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242913241_117096707368018_2962000620047931605_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=o0_wsvo6RRoAX9ibVy-&edm=AP_V10EBAAAA&ccb=7-4&oh=4ad39d7f7772d107c5c61eaddef1e653&oe=61620DCD&_nc_sid=4f375e
7,#감성숙소 🧡사랑하는 사람들과 함께 가기좋은 숙소 BEST9자연 속에서 우리만의 공간을 누릴 수 있는 곳만모아모아 추천드려요✨#서툰가족#리버트리펜션#고운재#중명정원#아르카북스#인더모은#더에스제이펜션#리버노스풀빌라#아르떼하우스-#홍천펜션 #홍천숙소 #남해펜션 #남해숙소 #가평펜션 #가평숙소 #제주펜션 #제주도펜션 #경주펜션 #경주숙소 #평택펜션 #평택숙소 #청도펜션 #청도숙소 #거제펜션 #거제숙소 #울산펜션 #울산숙소 #감성숙소 #독채펜션,2021-09-22,"6,035",대한민국 大韓民國,"['#감성숙소', '#서툰가족', '#리버트리펜션', '#고운재', '#중명정원', '#아르카북스', '#인더모은', '#더에스제이펜션', '#리버노스풀빌라', '#아르떼하우스-', '#홍천펜션', '#홍천숙소', '#남해펜션', '#남해숙소', '#가평펜션', '#가평숙소', '#제주펜션', '#제주도펜션', '#경주펜션', '#경주숙소', '#평택펜션', '#평택숙소', '#청도펜션', '#청도숙소', '#거제펜션', '#거제숙소', '#울산펜션', '#울산숙소', '#감성숙소', '#독채펜션']",1632268800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242421088_534549010980653_5959563370193275322_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=78RzkLjp-78AX8jV62N&edm=AP_V10EBAAAA&ccb=7-4&oh=166f76001d94f67788f07bb4de872a71&oe=6161CFAE&_nc_sid=4f375e
8,"✅ #서울_여느날옛 모습을 고스란히 간직한 서촌에 조용히 자리잡은 ""여느날"" 한옥의 옛스러움에 낯선 감정을 느끼는 사람들에게 한옥이 가진 고즈넉함과 편안함, 세련됨을 느끼고 갈 수 있도록 고심해서 만든 공간이다.문을 열고 들어가면 사계절 푸르른 소나무가 반겨주는 공간에는 곳곳에 그림과 도자기 등 세월의 흐름을 느낄 수 있는 아름다운 소품들이 한가득 해 구경하는 재미까지 더해진다. 사랑하는 연인, 친구, 가족들과 함께 가도 불편함 없이 즐길 수 있는 3개의 침대와 주방, 거실, 도란도란 이야기를 나누며 피로를 풀기 좋은 족욕탕까지 갖추고 있다. 거실 옆 공간의 툇마루는 독특한 인테리어 감각을 보여줌과 동시에 날씨에 상관없이 한옥의 감성을 느낄 수 있도록 구성한 주인장의 배려까지 느낄 수 있는 공간.평소와 다름없는 여느날이지만 따스한 온기가 가득한 공간에서 소중한 사람들과 선물 같은 하루를 보낼 수 있는 공간. 서촌 마을에 위치해 있는 만큼 주변에 맛집이나 카페, 관광지가 많아서 여행하기에도 좋다.✔ 더 많은 종로숙소는 #감성숙소_종로✔ 더 많은 서울숙소는 #감성숙소_서울📍여느날 (@usualday_)📍서울 종로구 자하문로1길 49-9📍평일 250,000원 (비수기 기준)📍반려동물동반 ❌Contents by Insta. gamsung_curationImage source.insta by @dalkom.j insta by @_danie_einsta by @amourfor_uinsta by @jjin2nyinsta by @usualday_#서울 #종로 #서촌 #여느날 #서울여행 #서울펜션 #서울독채펜션 #서울숙소 #에어비앤비 #서울에어비앤비 #에어비엔비 #감성숙소 #한옥스테이 #한옥숙소 #한옥",2021-09-20,"3,348",,"['#서울_여느날옛', '#감성숙소_종로✔', '#감성숙소_서울📍여느날', '#서울', '#종로', '#서촌', '#여느날', '#서울여행', '#서울펜션', '#서울독채펜션', '#서울숙소', '#에어비앤비', '#서울에어비앤비', '#에어비엔비', '#감성숙소', '#한옥스테이', '#한옥숙소', '#한옥']",1632096000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242539222_357951622726147_5634623891803793266_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=SBOqpfAt97EAX89nHEb&edm=AP_V10EBAAAA&ccb=7-4&oh=e8d83d105f6b74882713257480b8d672&oe=61613ED4&_nc_sid=4f375e
9,"✅ #거제_캄포하우스에메랄드빛 바다가 찬란하게 빛나는 남해안 한려수도에 자리잡은 “캄포하우스” 총 2채로 나뉘어진 독채 펜션으로 키즈 풀빌라 공간과 풀빌라 공간으로 구성되어 있다.자연속에 둘러 쌓인 공간은 깔끔한 외벽 인테리어부터 캠핑 분위기를 낼 수 있는 바비큐 공간, 물놀이를 즐기기 좋은 수영장과 햇살을 가득 머금은 화이트톤 내부의 아기자기한 인테리어까지 주인장의 감성을 담아 섬세하게 꾸며진 공간이다. 곳곳에 나인 크고 작은 창들로 시간의 흐름에 따라 뒤바뀌는 아름다운 풍경을 바라보기 좋다. 2채 모두 침실과 2개의 화장실, 거실과 주방으로 나뉘어져 있는데 가장 큰 차이점은 A동에는 아이들이 놀기 좋은 키즈룸을 갖추고 있고 B동은 카페에 온 듯한 분위기를 느낄 수 있는 카페룸을 갖추고 있는 점이다.아이들이 마음껏 뛰어놀기 좋은 마당과 가만히 앉아 바람을 만끽하기 좋은 평상 등 답답한 일상에서 벗어나 마음 편히 지낼 수 있는 공간이다. 아이들의 체험 공간인 쿠킹 클래스도 함께 운영되고 있으니 참고할 것. 푸르른 숲과 청량한 바다를 바라보며 우리만의 휴식을 누려보는 것은 어떨까.✔ 더 많은 거제숙소는 #감성숙소_거제✔ 더 많은 경상남도숙소는 #감성숙소_경상남도📍캄포하우스 (@campo_house )📍경남 거제시 둔덕면 거제남서로 4520-8📍평일 218,000원 (2인, 비수기 기준)📍반려동물동반 ❌ 키즈존 ⭕Contents by Insta. gamsung_curationImage source.insta by @ddok.dan insta by @deri_nanainsta by bsj1234567insta by @restarea_iinsta by @l_eunseo_oinsta by @campo_houseinsta by @dbfldkblog by @qkrtmxj85#경상남도 #거제 #캄포하우스 #거제여행 #거제펜션 #거제숙소 #거제독채펜션 #거제풀빌라 #거제감성숙소 #경남여행 #경남펜션 #감성숙소 #거제풀빌라펜션 #키즈펜션 #거제키즈펜션",2021-09-17,"3,114",거제도,"['#거제_캄포하우스에메랄드빛', '#감성숙소_거제✔', '#감성숙소_경상남도📍캄포하우스', '#경상남도', '#거제', '#캄포하우스', '#거제여행', '#거제펜션', '#거제숙소', '#거제독채펜션', '#거제풀빌라', '#거제감성숙소', '#경남여행', '#경남펜션', '#감성숙소', '#거제풀빌라펜션', '#키즈펜션', '#거제키즈펜션']",1631836800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242160773_392999388999853_8077029653227404166_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=5PrllAOT2UAAX-ExQFN&edm=AP_V10EBAAAA&ccb=7-4&oh=644ec6e0a4de319527afff99ac53c96a&oe=616077B6&_nc_sid=4f375e
