,content,date,like,place,tags,unix,imgUrl
0,"🏷감성캠핑을 즐길 수 있는 펜션 #모포여락- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍#숙소다녀왔습니다_포항📍 경상북도 포항시 남구 장기면 모포길 44-1▫️가격 @mopo_yeorak 문의▫️입실 15:00 퇴실 11:00후니와 이렇게 예쁜 곳에서 물멍 하는건 정말 엄청난 행복같아-🌊🤍-침실2 화장실2 거실, 주방, 마당(테크)-마당에서 캠핑, 바베큐가능🏖-집 바로 앞 주차가능🚘-차량 3분내 편의점포항 장기면 모포리에 있는 신상 숙소예요!̆̈정말 너무너무너무너무너무 좋아,,,🤍숙소 테크 앞이 바로 바다라서 물멍하면서 바베큐를 해먹을 수 있는데 찐힐링이더라구요,,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -✔출처이쁜사진 제공 해주신@dan_16_님 감사합니다✔더 많은 카페 정보는? @hi.cafe.tour",2021-09-29,33,포항,"['#모포여락-', '#숙소다녀왔습니다_포항📍']",1632873600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243910409_467066294351147_5972291960333166282_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=2QFH0ZsCVsQAX-Y7ldG&tn=Er4000O3dUodO0b8&edm=AP_V10EBAAAA&ccb=7-4&oh=1a3efc68eb96c1f5ac78a2e4eefe6df7&oe=615B03F5&_nc_sid=4f375e
1,"🏷하나부터 열까지 예쁜 #돔그라미펜션- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍#숙소다녀왔습니다_제주📍제주 서귀포시 표선면 가시로 137▫️1박 2일 기준 평수기 14만원 성수기 18만원▫️입실 16:00 퇴실 11:00외관이 동글 동글해서 너무 귀여웠던 돔그라미펜션 ◡̈숙소 내부도 감성 숙소 그 자체,,✨편안하고 따뜻한 분위기가 너무 맘에 들었던 곳🏡🧡- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -✔출처이쁜사진 제공 해주신@yourrumi_님 감사합니다✔더 많은 카페 정보는? @hi.cafe.tour",2021-09-28,42,Jeju,"['#돔그라미펜션-', '#숙소다녀왔습니다_제주📍제주']",1632787200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/243125386_1205216633331322_6703368002527687974_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=_A0FI5PyHs0AX-mAS8O&edm=AP_V10EBAAAA&ccb=7-4&oh=966540af8823978d082aa6d41e6d621e&oe=615B27D8&_nc_sid=4f375e
2,🏷오션뷰가 펼쳐지는 풀빌라 #웨스트힐스- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍#숙소다녀왔습니다_여수📍전남 여수시 돌산읍 몰둠벙길 22-9▫️1박 2일 기준 15만원 부터~▫️입실 15:00 퇴실 11:00뷰가 정말 아름다운 웨스트힐스바다 바로 앞에서 수영이라니💙- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -✔출처이쁜사진 제공 해주신@chanmi__p@pongnim_c님 감사합니다✔더 많은 카페 정보는? @hi.cafe.tour,2021-09-26,70,웨스트힐스,"['#웨스트힐스-', '#숙소다녀왔습니다_여수📍전남']",1632614400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/242893605_647747929530668_1420343672872887705_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=VxHlhfWxctsAX_rJxdb&edm=AP_V10EBAAAA&ccb=7-4&oh=5611963ee6e7622357b74c3487fa74be&oe=615B3A29&_nc_sid=4f375e
3,"🏷여수 감성숙소 #하월- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍#숙소다녀왔습니다_여수📍전남 여수시 돌산읍 평사로 160▫️1박 4인기준 평일 45만원 주말 60만원 (최대6인)▫️입실 15:00 퇴실 11:00여수 바다가 보이는 돌산의 조용한 곳에 커다란 독채 풀빌라 펜션이 오픈했어요 ◡̈♥︎ 40평 규모의 넓은 건물에 잡지에서 본 듯한 인테리어와 센스 넘치는 소품들, 사계절 모두 편안하게 즐길 수 있는 큰 자쿠지룸까지! 가본 프라이빗 독채 숙소 중 단연 최고였어요❣️마당이 있어서 정말 좋았고, 피크닉 의자가 구비되어 있어서 바람 쏘이기도 좋아요. 방과 거실, 자쿠지룸 모두 넓어서 커플 뿐만 아니라, 친구들 가족들에게도 좋을 숙소에요! 하월의 시그니처인 액자같은 거실뷰와 주방ෆ 거실과 자쿠지룸에 있던 마샬스피커까지 감성숙소의 끝판왕이에요👍🏻- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -✔출처이쁜사진 제공 해주신@iamlydia211님 감사합니다✔더 많은 카페 정보는? @hi.cafe.tour",2021-09-23,41,여수,"['#하월-', '#숙소다녀왔습니다_여수📍전남']",1632355200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/242654677_1255972151495830_4004421153440981558_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=cx3RHlAW8yIAX8IeO-o&tn=Er4000O3dUodO0b8&edm=AP_V10EBAAAA&ccb=7-4&oh=563894e8ec415bc710edc60d31a0e99b&oe=615A3D70&_nc_sid=4f375e
4,🏷하동의 지리산뷰 감성리조트 #하동컨싱턴리조트- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍#숙소다녀왔습니다_하동📍경남 하동군 화개면 쌍계로 532-6▫️1박 2인기준 평일 기준 8만원 초반 부터~▫️입실 15:00 퇴실 11:00하동의 그린뷰를 제대로 느낄 수 있는 켄싱턴 리조트에요 💚지리산뷰와 고즈넉한 분위기 속에서 휴식을 취하기 좋은 공간이에요켄싱턴 리조트의 원픽은 역시 야외 테라스 밖으로 펼쳐지는 그림같은 뷰와 편백나무 스파였어요차를 마시며 스파를 즐기며 하루의 피로를 싹 풀기 좋은 공간이였어요✨- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -✔출처이쁜사진 제공 해주신@s0_eeeee@hyunii님 감사합니다✔더 많은 카페 정보는? @hi.cafe.tour,2021-09-21,86,하동,"['#하동컨싱턴리조트-', '#숙소다녀왔습니다_하동📍경남']",1632182400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/242422144_232539965386314_1626458875951384479_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=DfA4ZXRt4-IAX9TntGd&edm=AP_V10EBAAAA&ccb=7-4&oh=b6ecea7403ae0461ff33833628c65463&oe=615B1591&_nc_sid=4f375e
5,🏷사진작가와 건축가의 조화 #토리코티지하시시박 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍#숙소다녀왔습니다_제주📍제주 제주시 조천읍 조천리 2945-1▫️1박 2인기준 40만원~45만원 (최대4인)▫️입실 15:00 퇴실 11:00- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -주변에 방해 없이 우리끼기 쓰기 좋았던 공간이에요건축가와 사진작가의 디자인이라 그런지 어느곳에서든 햇살도 잘들어오고멀리 한라산뷰와 오션뷰까지! (다 계획이 있었구나!)파랑+분홍+빨강색의 석양을 모두 볼 수 있답니다가족들과 친구들과 좋은 추억을 남기기 좋은 공간이였어요✔출처이쁜사진 제공 해주신@mjeong_g@xx_jenas_xx님 감사합니다✔더 많은 카페 정보는? @hi.cafe.tour,2021-09-20,43,Jeju,"['#토리코티지하시시박', '#숙소다녀왔습니다_제주📍제주']",1632096000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/242412936_2331292857004986_6954838387284046161_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=zQOVOdr4Be4AX_JWdMg&edm=AP_V10EBAAAA&ccb=7-4&oh=e373a6306ee936e96082821e436f4aba&oe=615B8716&_nc_sid=4f375e
6,🏷프라이빗하게 즐길 수 있는 한옥숙소 #스테이비투- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍#숙소다녀왔습니다_안동📍경북 안동시 서경지길 45-2▫️1박 2인기준 평일 27만원 주말 32만원 (최대4인)▫️입실 15:00 퇴실 11:00- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -한옥의 평온하고 따듯함을 느낄 수 있는 독채 숙소에요🕊새하얀 침구와 동그란 예쁜창이 있는 침실에 거실엔 빔프로젝트까지!그리고 하이라이트 노천탕노곤노곤하게 피로도 풀고 조용히 쉬었다가기 좋은 공간이에요✨✔출처이쁜사진 제공 해주신@shosho.ari님 감사합니다✔더 많은 카페 정보는? @hi.cafe.tour,2021-09-18,54,안동,"['#스테이비투-', '#숙소다녀왔습니다_안동📍경북']",1631923200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/242171162_1202333360279552_2914688748573314257_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=A1PJ6tUIozgAX9urwHP&edm=AP_V10EBAAAA&ccb=7-4&oh=b9b14af47056f48a4cb8f10689383c7e&oe=615BEADE&_nc_sid=4f375e
7,🏷 리버뷰 마운틴뷰룰 원없이 감상할 수 있는 #피그멜리온이펙트- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍#숙소다녀왔습니다_춘천📍강원 춘천시 서면 경춘로 405▫️1박 2인기준 4만9천원부터~▫️입실 15:00 퇴실 11:00- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -그림같은 뷰에서 완벽한 호캉스🌿힐링 제대로 할 수 있는 숙소✔출처이쁜사진 제공 해주신@eunhye.son.87님 감사합니다✔더 많은 카페 정보는? @hi.cafe.tour,2021-09-17,34,피그멜리온이펙트,"['#피그멜리온이펙트-', '#숙소다녀왔습니다_춘천📍강원']",1631836800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242114714_2745920755706526_988825233368043233_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=KFTkHILs7QcAX_o35oa&edm=AP_V10EBAAAA&ccb=7-4&oh=64e18411d6985b3807d7bb854b16535d&oe=615BB3F9&_nc_sid=4f375e
8,🏷 제주 동쪽 구좌읍 감성숙소 #올더버드- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍#숙소다녀왔습니다_제주📍제주시 구좌읍 하도3길 19-4▫️1박 2인기준 25만원 (최대4인)- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -제주 동쪽 조용한 곳에 위치한 감성 숙소 였어요✨가정주택집을 개조해 편안한 느낌과 마당공간이 있어 숲속에서 여유있게 차한잔 마시기도 좋았던 공간생긴지 얼마 안된곳이라 조용한 제주 여행을 즐기고 싶다면 추천드리고 싶은 공간이에요✔출처이쁜사진 제공 해주신@mendlem님 감사합니다✔더 많은 카페 정보는? @hi.cafe.tour,2021-09-16,60,Jeju,"['#올더버드-', '#숙소다녀왔습니다_제주📍제주시']",1631750400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/242004453_214262830734408_7097423122280092015_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=Aj1OgfNCNa0AX_0Im-d&tn=Er4000O3dUodO0b8&edm=AP_V10EBAAAA&ccb=7-4&oh=1ef57172a19ca04024f2a288c0dce036&oe=615AD302&_nc_sid=4f375e
9,"🏷 작은 유럽마을에서의 하루 #환타콜라리조트- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -📍#숙소다녀왔습니다_가평📍경기도 가평군 가평읍 석봉로3번길 157-5▫️1박 4인기준 주중 70만원 주말 80만원 (최대8인)- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -유럽에 온 것 같은 𝒇𝒂𝒏𝒕𝒂𝒔𝒚 𝒅𝒐𝒗𝒆✨3층 독채 풀빌라에서 프리이빗하게 바베큐, 실내 온수풀, 빔 프로젝터를 즐길 수 있어요💛 2층 테라스와 3층 다락방의 코지한 분위기도 최고ෆ⃛ 이렇게 예쁜 뷰에 맛있는 음식까지 더하면 완벽☺️✔출처이쁜사진 제공 해주신@s_amingg님 감사합니다✔더 많은 카페 정보는? @hi.cafe.tour",2021-09-15,46,환타콜라리조트,"['#환타콜라리조트-', '#숙소다녀왔습니다_가평📍경기도']",1631664000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/241959367_3132748087001002_3063864696114868739_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=LkBr_b6dJkEAX-wQ_g2&edm=AP_V10EBAAAA&ccb=7-4&oh=49071efa79ff5cf01bb767080ee44bbb&oe=615A3159&_nc_sid=4f375e
