,content,date,like,place,tags,unix,imgUrl
0,"러블리하고 알록달록한 색감을 가진 ""셀로판비""곳곳에 센스있고 감각적인 인테리어와 가구들, 소품들이 있는 감성숙소야❤️야외에 있는 농구장을 보면 바로 농구공을 던지고싶어진다구/(^p^)/농구공도 2시간 대여가 가능해!!🏀알록달록한 색감 덕분에 아무데서나 사진찍어도 인생샷~~ 📸가까운 곳에 해변이 있고 서핑 스팟이 있으니 기대해봐도 좋아><!!!@@양양 여행은 여기지~~같이 갈 친구 태긔태긔!!!📍셀로판비 (@cellophane.b)주소 : 강원도 양양군 현남면 동해대로 849-24📌입실시간 : PM 16:00📌퇴실시간 : AM 11:00#양양 #양양여행 #셀로판비 #양양셀로판비 #숙소 #숙소추천 #양양숙소 #감성숙소",2021-10-04,38,,"['#양양', '#양양여행', '#셀로판비', '#양양셀로판비', '#숙소', '#숙소추천', '#양양숙소', '#감성숙소']",1633305600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/244414880_582837076168950_3336681853799748313_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=mcEisjbmhGQAX_SUQs1&edm=AP_V10EBAAAA&ccb=7-4&oh=9ee0067c2bbdf38a8ed0a3ad553e2619&oe=61617C52&_nc_sid=4f375e
1,"제주도에서 프라이빗한 휴식을 즐길 수 있는 독채숙소 ""어오내하우스"" 넓은 마당이 있고 예쁜 카페 느낌이 나는 감성숙소야💛아침 조식으로 맛잇는 샌드위치를 준비해주신다고해!피크닉 세트 대여도 가능!! 테라스에서 피크닉하는 기분 느끼기✨또 가까운 거리에 해변이 있으니까 힐링하기도 딱 좋다구(๑>ᴗ<๑)전체적으로 화이트 톤의 깔금한 인테리어가 너무 이쁘자나ㅏㅏ제주도의 감성을 느끼러 가볼까????@@저장해두고 제주여행gogo~~📍어오내하우스 (@uonaehouse)주소 : 제주시 한경면 중산간서로 3728📌입실시간 : PM 16:00📌퇴실시간 : AM 10:30#제주 #제주여행 #제주도 #제주도여행 #어오내하우스 #어오내스테이 #독채숙소 #감성숙소 #숙소추천 #제주도숙소",2021-10-03,72,,"['#제주', '#제주여행', '#제주도', '#제주도여행', '#어오내하우스', '#어오내스테이', '#독채숙소', '#감성숙소', '#숙소추천', '#제주도숙소']",1633219200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/244349996_561260811621202_8053085551125384151_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=ybE1h6M8q2oAX-iqb2a&tn=WCu_5iOk9sH7jUAa&edm=AP_V10EBAAAA&ccb=7-4&oh=9ac8173f0381964ea890bba1551fcc20&oe=6160DF43&_nc_sid=4f375e
2,"힐링하기 최적화된 장소 글램핑,,,💛보기만 해도 힐링되는 부산 근처의 글램핑&카라반 다~ 찾아왔지!! 여기서 맘에 드는 곳 골라서 가면 된다구!! 상쾌한 공기 마시면서 즐기는 캠핑장으로 당장 떠나보쟈ㅑ٩( *˙0˙*)۶@@친구들이랑 추억 쌓으러 고고!!#부산캠핑장 #부산글램핑 #부산카라반 #글램핑 #카라반 #캠핑 #캠핑장 #부산여행 #부산근교여행 #부산숙소",2021-10-02,134,,"['#부산캠핑장', '#부산글램핑', '#부산카라반', '#글램핑', '#카라반', '#캠핑', '#캠핑장', '#부산여행', '#부산근교여행', '#부산숙소']",1633132800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/244045390_558030742186838_6334686556850349780_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=82c2vrxinnoAX9L_Pjl&edm=AP_V10EBAAAA&ccb=7-4&oh=0df2d49b43f262c5a9c5d26d43f8106c&oe=6161F0A2&_nc_sid=4f375e
3,"조금씩 추워지는 날씨면 생각나는 히노끼탕♨전국의 히노끼탕 싹 다 찾아왔다구~!!편백나무 향이 솔솔 🍂몸이 따끈따끈,, 쌓였던 피로가 한번에 다 풀리는 느낌(๑˘ꇴ˘๑)@@저장해두고 꼭꼭 가보기!!!#히노끼탕 #숙소 #히노끼탕펜션 #히노끼탕숙소 #노천탕  #노천탕숙소 #노천탕펜션 #숙소추천 #부산숙소 #감성숙소",2021-10-01,237,,"['#히노끼탕', '#숙소', '#히노끼탕펜션', '#히노끼탕숙소', '#노천탕', '#노천탕숙소', '#노천탕펜션', '#숙소추천', '#부산숙소', '#감성숙소']",1633046400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243828316_450299096344421_469941653832634393_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=91Gx5FiYI0QAX9qX5xe&edm=AP_V10EBAAAA&ccb=7-4&oh=66600fa9d57b867b9c23bc941a0f470d&oe=616243B3&_nc_sid=4f375e
4,"예쁜 카페 느낌이 나는 감성 숙소 ""안목스테이"" 조용한 여유를 가질 수 있는 프라이빗한 독채 숙소야🤎고풍적이고 엔틱한 가구들과 센스있는 인테리어가 눈에 확 들어와~!제주를 감상 할 수 있는 넓고 큰 창문 앞에서 인생샷 찍기 필수!! 머무는 손님들에게 맛있는 조식까지 준비해주신다고 해 ٩( *˙0˙*)۶침실 맞은편에는 앉아서 티타임을 가질 수 있는 곳도 마련되어있어 ☕️아늑한 침실에서 빔프로젝터로 영화로 하루 마무리하기~~~!!@@같이 갈 친구 태긔태긔~~>< 📍안목스테이(@anmok_stay)주소 : 제주 애월 수산리 479-1 📌입실시간 : PM 16:00📌퇴실시간 : AM 11:00#제주도 #제주숙소 #제주 #안목스테이 #제주안목스테이 #감성숙소 #숙소추천 #제주여행 #제주도여행",2021-09-30,80,,"['#제주도', '#제주숙소', '#제주', '#안목스테이', '#제주안목스테이', '#감성숙소', '#숙소추천', '#제주여행', '#제주도여행']",1632960000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243420852_297525205546868_2358381874200874333_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=zLYzN2jmzmQAX-k1uVo&tn=WCu_5iOk9sH7jUAa&edm=AP_V10EBAAAA&ccb=7-4&oh=be59358135acf4adb68f641703daf76f&oe=61618615&_nc_sid=4f375e
5,"✨평일 숙박권 이벤트✨숙소일기 팔로워+게시글 좋아요+친구태그 하시면 1명 댓글추첨을 통해 평일 숙박권을 드립니당😍10월 평일 1박 숙박권!! 사진 이쁘게 찍어쥬기☝🏻❣️추첨완료❣️바쁜 일상을 벗어나 프라이빗하게 쉴 수 있는 독채 숙소 ""화이트린넨하우스"" 깔끔한 화이트와 따뜻한 우드톤의 센스있는 인테리어의 감성숙소야🤍보기만해도 힐링이 되는 곳곳의 싱그러운 식물들이 포인트야 (๑˘ꇴ˘๑) 편한 휴식뿐만 아니라 홈파티 느낌도 낼 수 있고, 브라이덜 샤워하기에도 너무 좋은곳이야><가로수길 근처라서 즐길 곳도, 맛있는 맛집도 많다구~~!! 취사도 가능하니까 기대해도 좋아👍@@저장해두고 꼭 가보쟈ㅑ📍화이트린넨하우스(@whitelinen.house)주소 : 강남구 논현로149길 40 화이트 린넨 하우스📌입실시간 : PM 15:00📌퇴실시간 : AM 11:00#강남 #화이트린넨하우스 #강남숙소 #가로수길 #가로수길숙소 #숙소추천 #감성숙소 #독채숙소",2021-09-29,203,,"['#강남', '#화이트린넨하우스', '#강남숙소', '#가로수길', '#가로수길숙소', '#숙소추천', '#감성숙소', '#독채숙소']",1632873600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243792242_983834522191695_2829778055525828303_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=XB3pTAaTh48AX8asu0m&tn=WCu_5iOk9sH7jUAa&edm=AP_V10EBAAAA&ccb=7-4&oh=6df46f71fcafa7b606e5d8bc67e8a438&oe=61615DD8&_nc_sid=4f375e
6,"✨평일 숙박권 이벤트✨숙소일기 팔로워+게시글 좋아요+친구태그 하시면1명 댓글추첨을 통해 평일 숙박권을 드립니당😍10월 평일 1박 숙박권!!❣️추첨완료❣️옛날집 느낌을 그대로 살린 전원주택 독채숙소 ""거슬러오른집"" 자연에서 힐링을 느낄 수 있고 감성도 빠지지않는 숙소야 💜내부 인테리어는 빈티지함이 가득 묻어나고 왠지 고향집에 내려온 느낌이랄까?? 감나무 따기 체험도 가능하다구~~!!발코니 공간에는 향기로운 식물들이 있고 아기자기한 소품들로 꾸며져있어 🍃밤에는 반짝이는 별들을 보며 불멍하기 필수!! 감성캠핑느낌 제대로🔥@@한적한 곳에서 제대로 된 힐링을 느끼고싶다면 여기로 가자( ˃ᴗ˂ ) 📍거슬러오른집 (@gsl_house)주소 : 경상북도 청도군 풍각면 가양길 65📌입실시간 : PM 15:00📌퇴실시간 : AM 11:00#청도 #거슬러오른집 #청도거슬러오른집 #청도여행 #청도숙소 #독채숙소 #독채펜션 #감성숙소 #숙소추천 #언택트여행 #촌캉스",2021-09-29,227,,"['#청도', '#거슬러오른집', '#청도거슬러오른집', '#청도여행', '#청도숙소', '#독채숙소', '#독채펜션', '#감성숙소', '#숙소추천', '#언택트여행', '#촌캉스']",1632873600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243341804_612275343267307_7548558158567056034_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=IeqjX6cbQJsAX8BLvXf&edm=AP_V10EBAAAA&ccb=7-4&oh=89d2fcfdef8d79b4eb0c0b50d44c3828&oe=61621896&_nc_sid=4f375e
7,"✨평일 숙박권 이벤트✨숙소일기 팔로워+게시글 좋아요+친구태그 하시면1명 댓글추첨을 통해 평일 숙박권을 드립니당😍10월 평일 1박 숙박권!! (4인 미만)당첨후 블로그 or 인스타 정성스런 후기 필쑤!!❣️추첨완료❣️넓은 마당이 있고 초록초록 갬성있는 경주에 위치한 ""다불촌 독채민박"" 우리만의 특별한 여행이 가능한 프라이빗한 독채숙소야💚넓은 마당에 곳곳이 전부 힐링+포토스팟 ๑•‿•๑귀여운 미니 모래사장이 있고, 피크닉 세트도 무료 대여가 가능하다고 해👍거실에는 높고 큰 창 덕분에 시원하고 탁 트인 마운틴 뷰까지!! 차로 15분정도 가면 나오는 황리단길에서 맛있는 맛집도 찾아가보자고~~ @@요번 경주여행은 여기👇🏻👇🏻📍다불촌 독채민박 (@davulchon)주소 : 경주시 용강동 143-2📌입실시간 : PM 15:00📌퇴실시간 : AM 11:00#경주 #다불촌 #다불촌독채민박 #경주다불촌#경주여행 #경주숙소 #감성숙소 #숙소추천",2021-09-28,273,,"['#경주', '#다불촌', '#다불촌독채민박', '#경주다불촌', '#경주여행', '#경주숙소', '#감성숙소', '#숙소추천']",1632787200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243085511_3333927466732509_2170694216587404894_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=81FgDB5MvSwAX_BAO2O&edm=AP_V10EBAAAA&ccb=7-4&oh=0cc83620c4f727078571283911f855a5&oe=61628BEB&_nc_sid=4f375e
8,"✨평일 숙박권 이벤트✨숙소일기 팔로워+게시글 좋아요+친구태그 하시면1명 댓글추첨을 통해 평일 숙박권을 드립니당😍10월 평일 1박 숙박권!! 후기사진 이쁘게 찍어쥬기☝🏻❣️추첨완료❣️살짝 선선해진 날씨에 딱인 캠핑스타일의 숙소 ""발리별펜션""💙프라이빗한 독채 숙소이고. 40평 정도되는 넓은 복층 구조야!이국적인 분위기도 풍기고 마치 발리에 온 것 같은 느낌이 나쟈나o(≧∇≦o)감성있게 꾸며진 개별 테라스에서 바베큐도 하고 불멍까지🔥오락기, 스파까지 준비되어 있으니까 기대해도 좋다구✨@@양양으로 여행 떠나보는거 어때????📍발리별펜션 (@balistar_)주소 : 강원 양양군 서면 곰밭길 175-93📌입실시간 : PM 15:00📌퇴실시간 : AM 11:00#양양 #양양숙소 #발리별펜션 #양양발리별펜션#캠핑 #캠핑숙소 #감성숙소 #숙소추천 #양양여행",2021-09-27,181,,"['#양양', '#양양숙소', '#발리별펜션', '#양양발리별펜션', '#캠핑', '#캠핑숙소', '#감성숙소', '#숙소추천', '#양양여행']",1632700800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243017701_915911589350158_8969633217584190831_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=cJlE0BXJYmYAX9Ej_dT&tn=WCu_5iOk9sH7jUAa&edm=AP_V10EBAAAA&ccb=7-4&oh=fc6ae1fe36b3563877afac1c60ef6e21&oe=6160B241&_nc_sid=4f375e
9,"감성으로 가득한 제주도에 위치한 ""저지차경""바로 앞의 귤나무가 있는 제주도를 한껏 느낄 수 있는 독채 숙소야🧡감각적인 우드톤 인테리어와 아기자기한 소품들로 어딜가나 포토존이 된다구!그 중에서도 야외에 있는 노천탕에서 사진찍으면 바로 인생샷!!✨노천탕은 하늘이 뚫려있어 별을 보며 즐길 수 있으니까 기대해봐도 좋아( *ฅ́˘ฅ̀*)넷플도 볼 수 있고, 무려 보기 힘든 LP판이 있어,,LP판 틀고 제주감성에 취해버려ㅕㅕ @@제주도로 떠나자ㅏㅏ📍저지차경(@jeojicagyeong)장소 : 제주특별자치도 제주시 한경면 수동4길 1-5📌입실시간 : PM 16:00📌퇴실시간 : AM 11:00#제주도 #제주 #제주숙소 #저지차경 #제주저지차경#감성숙소 #숙소 #숙소추천 #제주도여행 #제주여행",2021-09-26,95,,"['#제주도', '#제주', '#제주숙소', '#저지차경', '#제주저지차경', '#감성숙소', '#숙소', '#숙소추천', '#제주도여행', '#제주여행']",1632614400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242794652_419250086282641_2039137729831467409_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=atTK2Ae5JUsAX9xHBER&edm=AP_V10EBAAAA&ccb=7-4&oh=357f1c3fd562a806a124cb7797331c61&oe=61626181&_nc_sid=4f375e
