,content,date,like,place,tags,unix,imgUrl
0,"#정선 #파크로쉬리조트앤웰니스 재충전하기 좋은 정선의 힐링 숙소, 파크로쉬입니다. 파크로쉬리조트앤웰니스는 딴 곳을 가지 않고 숙소 안에서만 머물러도 좋은 곳입니다. 요가부터 시작해서 스파, 수영장, 불멍 등 다양한 프로그램이 마련되어 있어 심심하지 않게 알찬 시간을 보내실 수 있으실거예요. 한 눈 가득 들어오는 숲뷰를 보며 즐길 수 있는 야외스파가 특히 매력적인 공간입니다. 공용 자쿠지는 총 4개로 이루어져 있다고 해요. 따뜻한 물 속에서 스파를 즐기며 자연친화적인 인생샷을 남겨보시길 바랍니다. 공용이 아닌 프라이빗한 자쿠지도 있으니 사전 예약해서  즐겨보세요 ! 🤍🪄이런 분들에게 추천해드려요✧자연 속에서 휴식 취하며 멋진뷰+야외스파를 동시에 즐기고 싶은 분✧숙소 안에서만 머물고 싶은 분__ __ __ __ __ __ __ __ __ __ __ __ 주소: 강원도 정선군 북평면 중봉길 9-12가격: 385,000~체크인: 15:00 / 체크아웃: 11:00숙소 인스타: @park_roche __ __ __ __ __ __ __ __ __ __ __ __ 💡여행지보다 숙소를 먼저 고르는 에디터가 추천해주는#숙소하다_정선 #숙소하다_강원도 ˳˳사진 출처: @sssssssssallyyyyy @hyebin__e @seilbaby @ony._.chuu @xxcharmed_xx @iam_h.jung #정선여행 #정선가볼만한곳 #정선숙소 #정선리조트 #파크로쉬 #힐링숙소 #힐링여행 #리조트추천 #야외스파 #노천탕숙소 #자쿠지숙소 #감성숙소 #감성스테이 #숙소추천 #숲뷰 #마운틴뷰 #강원도숙소 #강원도리조트",2021-10-04,38,PARK ROCHE Resort & Wellness,"['#정선', '#파크로쉬리조트앤웰니스', '#숙소하다_정선', '#숙소하다_강원도', '#정선여행', '#정선가볼만한곳', '#정선숙소', '#정선리조트', '#파크로쉬', '#힐링숙소', '#힐링여행', '#리조트추천', '#야외스파', '#노천탕숙소', '#자쿠지숙소', '#감성숙소', '#감성스테이', '#숙소추천', '#숲뷰', '#마운틴뷰', '#강원도숙소', '#강원도리조트']",1633305600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/244456682_299805835289229_8621366263161046125_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=h08edE47fM8AX89q-it&edm=AP_V10EBAAAA&ccb=7-4&oh=808ad41aa21b65f2f558975937f78125&oe=616290EA&_nc_sid=4f375e
1,"#청도 #거슬러오른집 숙소하다가 거슬러오른집과 함께 25만원 상당의 무료 숙박권 이벤트를 마련하게 됐습니다. 🪄이벤트기간: 2021.10.3 ~ 2021.10.10 🪄당첨자발표: 2021.10.13 / 댓글, 스토리로 당첨자 발표 🪄숙박 날짜: 2021.10~11월 평일 중 1팀✧참여방법-숙소하다(@sookso.hada) + 거슬러오른집(@gsl_house) 계정 팔로우-본 게시글 좋아요 ❤-친구 태그해서 댓글 작성✧참여조건-숙소 이용 후 블로그나 인스타그램에 리뷰 작성하기-비공개 계정은 참여 불가합니다.거슬러오른집은 인적이 드문 청도의 한적한 시골에 위치한 독채펜션입니다. 이곳의 거실은 옛집의 느낌을 살리면서도 빈티지한 무드가 곳곳에서 묻어나는 곳입니다. 안방, 거실 그리고 키즈룸까지 마련되어 있어 아이와 함께 머물기에도 무리없는 곳이에요. 이렇게 넓은 공간으로 두 가족이 모임을 가지기에도 충분하고, 아이들이 뛰노는 마당을 보며 힐링하고 휴식하기 좋답니다. 친구들과 자연 속에서 힐링하면서 감성 가득한 파티를 즐기시는 것도 좋아요 :) 아침 저녁 신선한 바람이 불어 여행하기 좋은 날씨인데요! 거슬러오른집으로 촌캉스 어떠세요 ? 아크릴 이젤 미술놀이, 감따기 체험, 불멍도 할 수 있으니 숙소 안에서 알찬 시간을 보내보시길 바랍니다 ◟(๑•͈ᴗ•͈)◞__ __ __ __ __ __ __ __ __ __ __ __ 주소: 경상북도 청도군 풍각면 가양길 65체크인 15:00 / 체크아웃 11:00💡여행지보다 숙소를 먼저 고르는 에디터가 추천해주는#숙소하다_청도 #숙소하다_경상북도˳˳사진 출처: @gsl_house #청도여행 #청도숙소 #청도펜션 #숙박권이벤트 #무료숙박권 #에어비앤비추천",2021-10-03,186,청도,"['#청도', '#거슬러오른집', '#숙소하다_청도', '#숙소하다_경상북도˳˳사진', '#청도여행', '#청도숙소', '#청도펜션', '#숙박권이벤트', '#무료숙박권', '#에어비앤비추천']",1633219200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/244185698_915694606011016_4706931584993950617_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=w75x_wVE1K8AX-sD5WX&edm=AP_V10EBAAAA&ccb=7-4&oh=aa836defd2ddb788dd5b5ea1e6401f07&oe=6163097C&_nc_sid=4f375e
2,"#공주 #소호스테이 은은한 저수지 뷰가 매력적인 공주의 독채펜션, 소호스테이입니다. 소호스테이는 체크인 할 때 웰컴드링크와 피크닉 세트를 주신다고 해요. 맛있는 크로플을 먹으며 저수지 앞에서 피크닉 온 듯 즐겨보시길 바래요. 넓은 잔디밭, 저수지뿐만 아니라 숙소 주위가 산으로 둘러싸여 있어 자연과 어울리며 하루를 보내기 좋을 거예요. 따뜻한 햇살이 가득 들어오는 거실 안쪽 침실 공간에선 큰 창을 통해 초록뷰를 감상하실 수 있답니다. 월-목 평일에는 대관만 가능하며 숙박은 금-일만 가능하다고 하니 참고해주세요 '◡'✿🪄이런 분들에게 추천해드려요✧#저수지뷰 를 감상하며 하루를 보내고 싶은 분✧#가족펜션 을 찾고 계신 분__ __ __ __ __ __ __ __ __ __ __ __ 주소: 충남 공주시 계룡면 신원사로 430-27가격: 250,000~체크인: 15:00 / 체크아웃: 11:00숙소 인스타: @soho_stay __ __ __ __ __ __ __ __ __ __ __ __ 💡여행지보다 숙소를 먼저 고르는 에디터가 추천해주는#숙소하다_공주 #숙소하다_충청남도˳˳사진 출처: @____s.chi @jusozeong @__miniim #충남여행 #공주여행 #공주가볼만한곳 #공주숙소 #충남숙소 #공주펜션 #충남펜션 #공주독채펜션 #가족펜션추천 #독채펜션추천 #뷰맛집숙소 #감성숙소 #대전근교여행 #공주데이트 #숙소추천 #여행스타그램 #국내여행",2021-10-01,24,소호스테이 SOHO STAY,"['#공주', '#소호스테이', '#저수지뷰', '#가족펜션', '#숙소하다_공주', '#숙소하다_충청남도˳˳사진', '#충남여행', '#공주여행', '#공주가볼만한곳', '#공주숙소', '#충남숙소', '#공주펜션', '#충남펜션', '#공주독채펜션', '#가족펜션추천', '#독채펜션추천', '#뷰맛집숙소', '#감성숙소', '#대전근교여행', '#공주데이트', '#숙소추천', '#여행스타그램', '#국내여행']",1633046400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243807838_1531123143888471_6718785293556120570_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=jWmtM3r4qh4AX_-fWze&edm=AP_V10EBAAAA&ccb=7-4&oh=35d670d76f7239615c7e60557f90f0ee&oe=61620810&_nc_sid=4f375e
3,"#경주 #프룩스플럭스호텔 파도소리, 새소리만 들리는 휴양에 최적화된 경주 숙소, 프룩스플럭스호텔입니다. 넓은 창으로 그림같은 동해의 바다와 주상절리를 감상할 수 있는 것이 특징입니다. 야외 스위밍 풀에서도 유일무이한 뷰를 한 눈에 조망하며 즐길 수 있다고 해요. 자연과 함께 여유로운 시간을 보내기 딱 좋은 공간입니다. 아름다운 파도소리가 들리는, 전망대가 있는 오션 루프탑도 마련되어 있습니다. 1층에 위치한 카페테리아에선 조식을 드실 수 있다고 해요. 모닝 브레드와 커피를 드시며 마지막까지 광활한 바다를 감상해보세요 :) 호텔 앞에 있는 주상절리 산책길을 따라 걸으며 시간을 보내셔도 좋을거라 생각됩니다 ˙ᵕ˙ღ🪄이런 분들에게 추천해드려요✧#경주풀빌라 호텔을 찾는 분✧#가족호텔 을 찾는 분__ __ __ __ __ __ __ __ __ __ __ __ 주소: 경북 경주시 양남면 동해안로 440가격: 150,000~체크인: 15:00 / 체크아웃: 11:00숙소 인스타: @fruxflux_hotel __ __ __ __ __ __ __ __ __ __ __ __ 💡여행지보다 숙소를 먼저 고르는 에디터가 추천해주는#숙소하다_경주 #숙소하다_경상북도˳˳사진 출처: @keemszy @leeda7456 @sally._.jyan @____peachlim @harrrah @positive._han #경주숙소 #경주숙소추천 #경주오션뷰 #경주풀빌라펜션 #경주호텔 #경주호텔추천 #경주감성숙소 #경주가족펜션 #오션뷰호텔 #감성숙소 #가족펜션추천 #경주여행 #뷰맛집숙소 #경주가볼만한곳 #경주가족여행 #경주핫플",2021-09-30,41,경주 양남 주상절리 파도소리길,"['#경주', '#프룩스플럭스호텔', '#경주풀빌라', '#가족호텔', '#숙소하다_경주', '#숙소하다_경상북도˳˳사진', '#경주숙소', '#경주숙소추천', '#경주오션뷰', '#경주풀빌라펜션', '#경주호텔', '#경주호텔추천', '#경주감성숙소', '#경주가족펜션', '#오션뷰호텔', '#감성숙소', '#가족펜션추천', '#경주여행', '#뷰맛집숙소', '#경주가볼만한곳', '#경주가족여행', '#경주핫플']",1632960000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/243781612_335327148279948_6417360760563254559_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=8nnGUqqgmUcAX_afgiY&edm=AP_V10EBAAAA&ccb=7-4&oh=9bcaad079f65090291014f26c7e664b9&oe=61628F25&_nc_sid=4f375e
4,"#인천 #무무펜션 숲 속에 들어온듯 편안함을 느낄 수 있는 인천 강화도 숙소, 무무펜션입니다.통창으로 초록뷰를 볼 수 있는 무무카페에서 웰컴드링크가 제공되는데요. 숙소에 들어가기 전부터 자연친화적인 느낌을 즐길 수 있답니다. 이곳의 하이라이트는 숲을 향해 디자인된 폴딩도어입니다. 폴딩도어를 열고 숲을 바라보며 스파를 즐겨보시길 바래요. 몸과 마음의 휴식이 필요한 분들이 방문해주시면 더욱 좋을 것 같네요 ꒰⑅ᵕ༚ᵕ꒱♥🪄이런 분들에게 추천해드려요✧#스파펜션 을 찾는 분✧#숲캉스 를 즐기고 싶은 분__ __ __ __ __ __ __ __ __ __ __ __ 주소: 인천 강화군 화도면 해안남로1066번길 12가격: 170,000~체크인: 15:00 / 체크아웃: 12:00숙소 인스타: @stylingmumu __ __ __ __ __ __ __ __ __ __ __ __ 💡여행지보다 숙소를 먼저 고르는 에디터가 추천해주는#숙소하다_인천˳˳사진 출처: @y_yssss @hyona___a @danmi_kk @o___o100 #인천여행 #강화도 #강화도여행 #인천숙소 #강화도숙소 #강화도숙소추천 #인천호텔 #강화도호텔 #인천펜션 #강화도펜션추천 #강화도펜션추천 #강화도핫플 #강화도데이트 #숲속펜션 #스파펜션추천 #힐링숙소 #뷰맛집숙소 #숲뷰 #감성숙소",2021-09-28,28,무무펜션,"['#인천', '#무무펜션', '#스파펜션', '#숲캉스', '#숙소하다_인천˳˳사진', '#인천여행', '#강화도', '#강화도여행', '#인천숙소', '#강화도숙소', '#강화도숙소추천', '#인천호텔', '#강화도호텔', '#인천펜션', '#강화도펜션추천', '#강화도펜션추천', '#강화도핫플', '#강화도데이트', '#숲속펜션', '#스파펜션추천', '#힐링숙소', '#뷰맛집숙소', '#숲뷰', '#감성숙소']",1632787200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243245456_443887350376339_3468647140833362647_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=WwIlXgles34AX8Zcaix&edm=AP_V10EBAAAA&ccb=7-4&oh=4ea32c9b4b92ae2854b1d7f2a985aec5&oe=616395BE&_nc_sid=4f375e
5,"#포항 #테스226 눈 앞의 펼쳐지는 푸른 빛깔의 바다를 감상할 수 있는 포항 숙소, 테스226입니다.전 객실 오션뷰로 파노라마로 펼쳐지는 멋진 바다를 감상할 수 있는 뷰맛집 숙소입니다. 총 4개의 객실로 이루어져 있는데요. 2층에 위치한 객실이 바다가 잘 보여 가장 인기가 많다고 해요. 바다와 맞닿은 야외 수영장을 하계 시즌에 무료로 이용할 수 있습니다. 뿐만 아니라 전 객실에 실내 스파가 있어 창 너머로 오션뷰를 보며 스파를 즐길 수 있답니다 :) 테스 226은 일출맛집이기도 하니 새벽에 일어나 그림같은 일출을 감상하시길 바래요 ! 🪄이런 분들에게 추천해드려요✧#포항커플펜션 을 찾는 분✧#일출맛집 에서 멋진 풍경을 감상하고 싶은 분__ __ __ __ __ __ __ __ __ __ __ __ 주소: 경상북도 포항시 북구 청하면 해안로1958번길 25-5가격: 150,000~체크인: 15:00 / 체크아웃: 11:00숙소 인스타: @tess226_poolvilla_day __ __ __ __ __ __ __ __ __ __ __ __ 💡여행지보다 숙소를 먼저 고르는 에디터가 추천해주는#숙소하다_포항 #숙소하다_경상북도˳˳사진 출처: @_ssuh_y @ja______eun @hiyossun @jourmii @crystal._.j #포항여행 #포항가볼만한곳 #포항펜션 #포항펜션추천 #포항오션뷰 #포항오션뷰펜션 #포항숙소 #포항숙소추천 #포항풀빌라 #포항풀빌라펜션 #포항데이트 #포항감성숙소 #포항스파펜션 #일출명소 #일몰명소 #해돋이명소 #오션뷰펜션",2021-09-27,27,Tess226,"['#포항', '#테스226', '#포항커플펜션', '#일출맛집', '#숙소하다_포항', '#숙소하다_경상북도˳˳사진', '#포항여행', '#포항가볼만한곳', '#포항펜션', '#포항펜션추천', '#포항오션뷰', '#포항오션뷰펜션', '#포항숙소', '#포항숙소추천', '#포항풀빌라', '#포항풀빌라펜션', '#포항데이트', '#포항감성숙소', '#포항스파펜션', '#일출명소', '#일몰명소', '#해돋이명소', '#오션뷰펜션']",1632700800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243019235_3009799015942642_871922476082974200_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=pkEoKkba9nsAX_rNCmX&tn=Ont8o1D8KKnPYM0B&edm=AP_V10EBAAAA&ccb=7-4&oh=643844bb841bd2f1a4fd695bdcdbdf51&oe=61635B60&_nc_sid=4f375e
6,"#제주도 #셀러리제주 제주도 동쪽 구좌읍 마을 안에 위치한 조용하고 편안한 2인 민박, 셀러리제주입니다.셀러리제주는 퀸 베드룸,  트윈 베드룸으로 이루어진 감성 숙소입니다. 두 타입 모두 개인 테라스가 붙어있는 원룸형 객실이라고 해요. 작은 정원에 마련된 '야외 욕조'를 사용하고 싶다면 퀸 베드룸으로 예약해주세요 :) 숙소 내부는 전체적으로 따뜻하고 아늑한 분위기가 주를 이루고 있어 사진 남기기 딱이랍니다. 제주 감성 물씬 느껴지는 외부에서도 인증샷 남겨보시길 바래요 • • •♥🪄이런 분들에게 추천해드려요✧#제주동쪽숙소 를 찾는 분✧#야외욕조 에서 인생샷 남기고 싶은 분__ __ __ __ __ __ __ __ __ __ __ __ 주소: 제주특별자치도 제주시 구좌읍 상하도길 38가격: 100,000~체크인: 16:00 / 체크아웃: 10:30야외 욕조: 오후 10시 이전 1회 사용 가능숙소 인스타: @celery_jeju __ __ __ __ __ __ __ __ __ __ __ __ 💡여행지보다 숙소를 먼저 고르는 에디터가 추천해주는#숙소하다_제주도˳˳사진 출처: @ddo22e @h_waa._ @l_am_min @suhyun.jpg @vin._.da @k._.gy_ @been._.e 90_hj_ #제주여행 #제주숙소 #제주숙소추천 #제주도숙소 #제주도숙소추천 #제주도동쪽숙소 #구좌숙소 #구좌읍숙소 #제주동쪽숙소추천 #제주도감성숙소 #제주감성숙소추천 #제주2인숙소 #감성숙소 #숙소추천",2021-09-26,23,제주도 Jeju Island,"['#제주도', '#셀러리제주', '#제주동쪽숙소', '#야외욕조', '#숙소하다_제주도˳˳사진', '#제주여행', '#제주숙소', '#제주숙소추천', '#제주도숙소', '#제주도숙소추천', '#제주도동쪽숙소', '#구좌숙소', '#구좌읍숙소', '#제주동쪽숙소추천', '#제주도감성숙소', '#제주감성숙소추천', '#제주2인숙소', '#감성숙소', '#숙소추천']",1632614400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242917857_277806980664364_1070787817247143996_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=HTfdAvfJwv8AX-5g9r7&edm=AP_V10EBAAAA&ccb=7-4&oh=7ef0de3af3732c06e08c8a477c3420e5&oe=61621360&_nc_sid=4f375e
7,"옥캉스, 호캉스 말고 이제는 한적한 곳에서 촌캉스 어때?전국 촌캉스 숙소 추천 BEST 51. #산포까사 -경북 울진군 근남면 산포리 40-102. #도곡별장 -경남 밀양시 상동면 도곡1길 159-223. #수리재 -충남 부여군 세도면 성흥로 4114. #유상리외할머니집 -경북 영천시 북안면 유상길 241-285. #맨션애플트리 -경북 봉화군 춘양면 달구벌길85💡여행지보다 숙소를 먼저 고르는 에디터가 추천해주는#숙소하다_경상남도 #숙소하다_경상북도 #숙소하다_충청남도˳˳사진 출처: @ju.h22 @ssg__mj @_eivom_ @h__boeun @jizero_o @u_sol_ @ye0.nni @mococo_aa @y__je_ #울진숙소 #밀양숙소 #부여숙소 #영천숙소 #봉화숙소 #촌캉스 #시골집 #힐링여행 #힐링숙소 #민박집 #감성숙소 #숙소추천 #민박 #민박추천 #일몰맛집 #숲속펜션 #초록뷰 #국내여행 #시골감성 #감성숙소추천 #펜션추천",2021-09-25,32,,"['#산포까사', '#도곡별장', '#수리재', '#유상리외할머니집', '#맨션애플트리', '#숙소하다_경상남도', '#숙소하다_경상북도', '#숙소하다_충청남도˳˳사진', '#울진숙소', '#밀양숙소', '#부여숙소', '#영천숙소', '#봉화숙소', '#촌캉스', '#시골집', '#힐링여행', '#힐링숙소', '#민박집', '#감성숙소', '#숙소추천', '#민박', '#민박추천', '#일몰맛집', '#숲속펜션', '#초록뷰', '#국내여행', '#시골감성', '#감성숙소추천', '#펜션추천']",1632528000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/243062599_131348109176773_208596984005075190_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=m4256fAGG30AX-g5VMt&edm=AP_V10EBAAAA&ccb=7-4&oh=896a61d48e1a41967656007816a1c987&oe=6163965C&_nc_sid=4f375e
8,"#인천 #호텔월미도 이색적인 뷰를 볼 수 있는 인천 호텔, 호텔월미도입니다.호텔월미도에선 월미도 테마파크의 대관람차뷰를 볼 수 있는 것이 특징인데요. 이 뷰를 보고 싶은 분들은 관람차뷰 트윈룸 혹은 관람차뷰 더블로 예약해주시면 됩니다. 밤에 불빛이 켜지면 더욱 예쁘니 꼭 관람차를 배경으로 사진을 남겨보시길 바래요 ♥6층 루프탑에는 수영장이 마련되어 있습니다. 생각보다 넓고 뷰도 좋아서 즐기기에 여념없는 곳이랍니다. 월미도에서 호캉스를 하고 싶은 분들은 호텔월미도로 오세요 :) 🪄이런 분들에게 추천해드려요✧#인천호캉스 를 계획중이신 분✧#뷰맛집 호텔을 찾는 분__ __ __ __ __ __ __ __ __ __ __ __ 주소: 인천 중구 월미로 274가격: 100,000~체크인: 15:00 / 체크아웃: 11:00루프탑수영장: 15:00 - 21:00숙소 인스타: @hotel_wolmido __ __ __ __ __ __ __ __ __ __ __ __ 💡여행지보다 숙소를 먼저 고르는 에디터가 추천해주는#숙소하다_인천˳˳사진 출처: @bbo093 @anda9711 @h___delight @__xxcherish @bobobo_1026 @_kingmini #인천여행 #인천가볼만한곳 #인천호텔 #인천호텔추천 #인천수영장 #인천숙소 #인천숙소추천 #호캉스 #호캉스추천 #커플숙소 #뷰맛집숙소 #호텔추천 #감성숙소 #숙소추천 #여행스타그램 #월미도 #월미도테마파크 #월미테마파크",2021-09-24,22,월미도,"['#인천', '#호텔월미도', '#인천호캉스', '#뷰맛집', '#숙소하다_인천˳˳사진', '#인천여행', '#인천가볼만한곳', '#인천호텔', '#인천호텔추천', '#인천수영장', '#인천숙소', '#인천숙소추천', '#호캉스', '#호캉스추천', '#커플숙소', '#뷰맛집숙소', '#호텔추천', '#감성숙소', '#숙소추천', '#여행스타그램', '#월미도', '#월미도테마파크', '#월미테마파크']",1632441600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242609918_1216648298802557_7426889417378047992_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=U7Ry5sOHPpwAX_c4I-K&edm=AP_V10EBAAAA&ccb=7-4&oh=7ee18c207d1114464aa04408faa48669&oe=61637950&_nc_sid=4f375e
9,"#장성 #소유민박 한적한 장성의 어느 시골마을에 위치한 숙소, 소유민박입니다. '소소하게 유유하게'의 소유민박은 마당이 돌담으로 둘러싸여 있어 외부만 보면 제주도인가? 하는 생각이 드는 숙소입니다.넓은 마당 한 켠에는 바베큐를 할 수 있는 공간이 마련되어 있습니다. 저녁 노을을 감상하면서 맛있는 고기를 드셔보세요. 숙소 옆에는 수영장이 있습니다. 7-8월 여름에만 이용 가능하니 참고해주세요 :) 숙소 내부도 과하지 않은 감각적인 인테리어로 깔끔한 분위기를 느낄 수 있습니다. 한적한 곳에 위치한 독채펜션을 찾는다면 소유민박을 주목해주세요 *✲ﾟ*｡🪄이런 분들에게 추천해드려요✧#가족독채펜션 을 찾는 분✧여름에 이용 가능한 #수영장펜션 을 찾는 분__ __ __ __ __ __ __ __ __ __ __ __ 주소: 전남 장성군 북일면 북부1길 7가격: 190,000~체크인: 14:00 / 체크아웃: 11:00숙소 인스타: @sosoyuyu_202 __ __ __ __ __ __ __ __ __ __ __ __ 💡여행지보다 숙소를 먼저 고르는 에디터가 추천해주는#숙소하다_장성 #숙소하다_전라남도˳˳사진 출처: @kkkimm_725 @leexu_y @jy_minnn @o_oogi @ch.y_s2 #장성여행 #전남여행 #장성숙소 #전남숙소 #장성펜션 #전남펜션 #전남수영장펜션 #감성숙소 #숙소추천 #독채펜션 #독채펜션추천 #수영장펜션추천 #가족펜션 #가족펜션추천 #풀빌라펜션추천 #감성민박",2021-09-24,29,장성,"['#장성', '#소유민박', '#가족독채펜션', '#수영장펜션', '#숙소하다_장성', '#숙소하다_전라남도˳˳사진', '#장성여행', '#전남여행', '#장성숙소', '#전남숙소', '#장성펜션', '#전남펜션', '#전남수영장펜션', '#감성숙소', '#숙소추천', '#독채펜션', '#독채펜션추천', '#수영장펜션추천', '#가족펜션', '#가족펜션추천', '#풀빌라펜션추천', '#감성민박']",1632441600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/242696930_3099822280293490_4184608679474396018_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=SYF4NAzEDKAAX9CCBkk&edm=AP_V10EBAAAA&ccb=7-4&oh=a4db7bac8e7123fdaadbbeec987d1cdc&oe=6163DBD5&_nc_sid=4f375e
