,content,date,like,tags,name,overlap,place
0,"포항_선바우집호미곶 오션뷰 한옥 독채민박""선바우집""'선바우집'은가족단위로 머물기 좋은 넓고 아름다운한옥 독채 숙소로 동해바다가 툇마루에서시원하게 보이는 곳이에요 :)동해임에도 일몰이 참 아름다운 이곳에서선셋은 로맨틱한 선바우집 툇마루에서감상하고 일출은 인근 명소인호미곶광장에서 즐길 수 있어요.선바우집은 선바우길 시작점에 위치하고있으며호미반도 해안둘레길 중 가장 멋진선바우길은 바다 위를 걸어가는듯한산책로가 근사한 곳이랍니다 :)1934년에 지어진 한옥으로약 30년 전에 수리된개량형태의 한옥집이에요.방 두칸, 툇마루, 부엌 겸 다이닝룸과욕실 겸 화장실이 있으며큰방은 두 칸을 튼 꽤 큰방이고작은방은 낮은 평상형 퀸침대로 가득찬아늑한 공간이에요.큰 방에는 빔프로젝터가 있어 넷플릭스 이용이 가능하며반닫이함에는 다양한 보드게임이 있어요.아름다운 동해바다와 호미곶의 일출을보기 좋은 포항 선바우집에서로맨틱한 하루를 보내보세요 :)—————————————————🏡'포항 선바우집'🚩주소👉경북 포항시 남구 동해면👉자세한 주소는 예약 후 표시📆예약문의👉airbnb.co.kr/rooms/47893979⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 기준 240,000📸Photo by @myomee_v @yeonandha전국 감성숙소는 #데일리감성포항 감성숙소는 #데일리감성_포항경상북도로 떠난다면 #데일리감성_경북—————————————————",2021-09-30,34,"['#데일리감성포항', '#데일리감성_포항경상북도로', '#데일리감성_경북—————————————————']",선바우집,0,
1,"밀양_석주재프라이빗한 한옥 숙소""석주재""'석주재'는밀양의 프라이빗한 한옥 감성숙소로하루에 2팀만이 예약 가능한독채 숙소여서 조용하게힐링하고 올 수 있는 곳이에요 :)바베큐장이 준비되어 있으며무쇠 솥뚜껑 그리들에가스버너로 준비해주십니다.취사도구는 간단한 조리용으로만준비되어 있으니 참고해주세요.목조주택 특성상 환기 문제로실내에서 냄새가 많이 나는 요리는조리가 불가해요.한옥집의 모든 부분이 깔끔하긴 힘들고재료가 약하기 때문에쉽게 파손되는 경우가 있다는걸이해하고 사용해주세요 :)노천탕은 온수, 냉수 모두 이용 가능하며기름 보일러로 온수를 사용합니다.안전을 위해 cctv가 작동되고 있으니걱정없이 프라이빗하게 사용이 가능해요 :)밀양의 조용한 한옥 숙소에서혼자만의 또는 우리들만의시간을 보내며 추억을 쌓아보세요 :)—————————————————🏡'밀양 석주재'🚩주소👉경남 밀양시 산외면 금곡2길 50📆예약문의👉stoneplay.modoo.at/⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 기준 180,000📸Photo by @co_ew @sonissu @ssun._.9전국 감성숙소는 #데일리감성밀양 감성숙소는 #데일리감성_밀양경상남도로 떠난다면 #데일리감성_경남—————————————————",2021-09-27,22,"['#데일리감성밀양', '#데일리감성_밀양경상남도로', '#데일리감성_경남—————————————————']",석주재,0,경상남도 밀양시 산외면 금곡리 45-5
2,"여수_컴온인동남아 이국적 분위기의 감성 숙소""컴온인""'컴온인'은동남아의 이국적인 분위기를가득 담은 아늑한 공간이에요 :)여수 관광 최적의 자리에 위치하고 있어주요 관광지, 맛집, 카페, 액티비티 등어느 곳으로나 걸어서10분 이내의 최단 거리로 갈 수 있어요.커플여행, 우정여행, 나홀로여행 등어떤 목적으로 이곳으로 떠나도만족스러운 여행이 될 거에요.동남아 여행을 그리워 하며 애정을 담아 준비한 공간인만큼게스트분들에게도 이 마음과 분위기가전해지길 바란다고 하십니다 :)해외여행을 떠나기 어려운 상황에동남아 여행이 그립다면이국적인 분위기를 담은 이 곳에서여러분만의 특별한 아침을 맞이해보세요.늘 같은 분위기의 숙소와는 다른일상의 지루함을 떨쳐버릴 수 있는여수 컴온인에서 힐링의 시간을 보내보세요 :)—————————————————🏡'여수 컴온인'🚩주소👉정확한 위치는 예약 후 알 수 있습니다.📆예약문의👉www.airbnb.co.kr/rooms/47481718⏰체크인 : PM 16:00⏰체크아웃 : PM 12:00📍가격정보📍비수기 평일 2박 기준 240,000📸Photo by @chocochip___girl @kma__kma @yo__nal전국 감성숙소는 #데일리감성여수 감성숙소는 #데일리감성_여수 전라남도로 떠난다면 #데일리감성_전남—————————————————",2021-09-26,21,"['#데일리감성여수', '#데일리감성_여수', '#데일리감성_전남—————————————————']",컴온인,0,
3,"강화_문스톤펜션강화도에서 가장 감성적인 숙소""문스톤펜션""'문스톤펜션'은강화도 동막해수욕장 근처에 위치한깔끔한 신축 감성 숙소로2층은 카페, 3층은 숙소,4층은 바베큐장으로 운영되고 있어요 :)통 유리창이 있어 뷰가 너무 좋으며사진찍기에도 딱 좋은 숙소에요.주차는 펜션 1층에 가능하며한 객실당 2대까지 주차가 가능해요.2층에서 운영하는 카페도매우 예뻐서 따로 카페를 찾지 않아도이 곳에서 여유로운 시간을 보낼 수 있어요.천장이 높아서 복층 오피스텔의느낌이 나는 고급스러운 인테리어로꾸며져있고 침대에 누워 바라보는서해 바다 뷰는 정말 아름다워요 :)강화도에서 가장 감성적인 공간에서바다를 바라보며 힐링의 시간을 가져보세요.—————————————————🏡'강화 문스톤펜션'🚩주소👉인천 강화군 화도면 해안남로 1598-10📆예약문의👉www.instagram.com/moonstone.cafe/⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 기준 130,000📸Photo by @a_dorable_pila @bora.kim.71127@jonmat_.taeng @kang__seonmi전국 감성숙소는 #데일리감성강화 감성숙소는 #데일리감성_강화경기도로 떠난다면 #데일리감성_경기—————————————————",2021-09-26,14,"['#데일리감성강화', '#데일리감성_강화경기도로', '#데일리감성_경기—————————————————']",문스톤펜션,0,제주특별자치도 제주시 구좌읍 월정리 235-1
4,"제주_고등어민박제주 동쪽 로맨틱한 감성 숙소""고등어민박""'고등어민박'은제주에서 가장 푸른 빛의 바다를 볼 수 있는제주 북동쪽의 조용한 바닷가 마을한동리에 터를 잡고 있어요 :)고등어회를 처음 먹었을 때질리지 않는 고급스러운 맛,제주 특유의 맛을 느낀 기억으로지은 이름이라고해요.두개의 2인실로 이루어져있으며모든 객실의 구조와 크기가 동일합니다.아늑한 휴식을 위해 침실은 복층으로분리되어 있으며 내부는 차분한 컬러와최소한의 소품들로 채워져있어요.모든 객실의 창을 통해바다가 한 눈에 보이며맑은 날에는 침실에서 저 멀리한라산이 보이기도 해요 :)제주 동쪽 해안 지역의 숨은 명소인한동리에 위치한 고등어민박에서석양을 배경으로 한적한 해변을 산책하거나음악과 함께 책을 읽으며여유로운 힐링의 시간을 보내보세요 :)—————————————————🏡'제주 고등어민박'🚩주소👉제주 제주시 구좌읍 해맞이해안로 1026📆예약문의👉blog.naver.com/stay_mackerel⏰체크인 : PM 16:00⏰체크아웃 : AM 10:30📍가격정보📍비수기 평일 2인 기준 150,000📸Photo by @pm13.29 @complete_long_@chan_aaaaaaaaa전국 감성숙소는 #데일리감성제주 감성숙소는 #데일리감성_제주—————————————————",2021-09-24,13,"['#데일리감성제주', '#데일리감성_제주—————————————————']",고등어민박,0,제주특별자치도 제주시 구좌읍 한동리 1338-8
5,"전주_청연전주 감성 독채 한옥스테이""청연""'청연'은전주한옥마을 내에 위치한한옥 독채스테이에요 :)전주 한옥마을 내에서 흔하지 않은층고가 높고 처마가 길게 늘어진독채 한옥숙소에요.대들보를 사용하여 지붕을 높게 쌓아 올렸으며 기존 한옥에 통창을 접목하여개방감을 느낄 수 있도록 공간을 구성했어요.독채 한옥스테이로모든 공간과 시설을 단독으로사용할 수 있으며 한옥 특성상실내 취사는 불가한 점 참고해주세요 :)오후 4시부터 일몰 전까지부엌 통창으로 들어오는 햇빛이매우 아름다우니 간단한 디저트나 저녁을 드시며따스한 햇살을 느껴보세요 :)—————————————————🏡'전주 청연'🚩주소👉전북 전주시 완산구 전주천동로 80-19📆예약문의👉www.airbnb.co.kr/rooms/48385692⏰체크인 : PM 16:00⏰체크아웃 : PM 12:00📍가격정보📍비수기 평일 2인 기준 약 290,000📸Photo by @_byul8전국 감성숙소는 #데일리감성전주 감성숙소는 #데일리감성_전주전라북도로 떠난다면 #데일리감성_전북—————————————————",2021-09-24,15,"['#데일리감성전주', '#데일리감성_전주전라북도로', '#데일리감성_전북—————————————————']",청연,0,전라북도 전주시 완산구 교동 205
6,"남양주_숲속의 오두막조용한 숲속에서 행복한 하루""숲속의 오두막""'숲속의 오두막'은자연 속에서 여유로운 분위기와고요함을 느낄 수 있는 곳으로캠핑 감성을 느끼고 싶은 분들에게아주 좋은 숙소에요 :)해발고도 400m에 위치한 숲속의 오두막은조용히 힐링하고 오기에 아주 좋은 곳으로화려하고 세련된 인테리어는 아니지만감성적인 오두막집에서 마음 편안한휴식을 취할 수 있어요.한적한 숲 속에서 여유로운 고독을제대로 느낄 수 있는 숲속의 오두막은불멍을 하며 바베큐를 먹고빔 프로젝터로 깜깜한 숲 속에서영화를 즐길수도 있어요 :)객실 밖 작은 테라스에서 숲을 바라보며 커피 한 잔을 마시면모든 걱정이 날아가는 기분이 들어요.숲 내음 가득한 이 곳에서 100% 휴식을 취하며잊지 못할 하루를 지내보세요 :)—————————————————🏡'남양주 숲속의오두막'🚩주소👉경기도 남양주시 오남읍 팔현로 175번길 142-36📆예약문의👉https://cabintrip.modoo.at/⏰체크인 : PM 15:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 2인 기준 약 200,000📸Photo by @asy_shy @dasoonii_전국 감성숙소는 #데일리감성남양주 감성숙소는 #데일리감성_남양주경기도로 떠난다면 #데일리감성_경기—————————————————",2021-09-23,14,"['#데일리감성남양주', '#데일리감성_남양주경기도로', '#데일리감성_경기—————————————————']",숲속의 오두막,0,강원도 양양군 서면 수리 427-3
7,"거제_갈곶힐링하기 좋은 예쁜 독채 펜션""갈곶""'갈곶'은거제 8경 바람의 언덕이 시원하게 보이고별 그대 촬영지인 동백숲이 품고 있는예쁜 감성 펜션이에요 :)내부에서 바람의 언덕 풍차가통창으로 한 눈에 보이며전체 리모델링을 통해모던하고 깔끔하게 완성되었어요.전용주차장이 마련되어 있어차를 가지고 가시는 분들은편하게 주차할 수 있답니다.실내 인테리어가 온통 나무로 되어 있어감성적인 느낌이 들며중정이 있어 개방감 또한 느낄 수 있어요.건물은 1층과 2층, 3층 루프탑으로이루어져있고 독채 펜션이라프라이빗한 사용이 가능해요 :)침대에 누워 통창을 통해바람의 언덕을 바라보며편안한 휴식을 취해보세요 :)—————————————————🏡'거제 갈곶'🚩주소👉경상남도 거제시 도장포 2길 7-2📆예약문의👉airbnb.co.kr/rooms/50292776⏰체크인 : PM 16:00⏰체크아웃 : PM 12:00📍가격정보📍비수기 평일 2인 기준 약 230,000📸Photo by @sss_a.91 @yo__nal전국 감성숙소는 #데일리감성거제 감성숙소는 #데일리감성_거제경상남도로 떠난다면 #데일리감성_경남—————————————————",2021-09-21,24,"['#데일리감성거제', '#데일리감성_거제경상남도로', '#데일리감성_경남—————————————————']",갈곶,0,
8,"제주_스테이스며들다감성적인 조용한 게스트하우스""스테이스며들다""'스테이스며들다'는조용하고 한적한 바닷가 마을에 위치한부부가 운영하시는 감성적인제주도 민박집이에요 :)제주 시골마을의 정취가 가득 묻어있는용수리의 오래된 농가주택을사계절을 온전히 겪고 느끼며직접 고치고 다듬고 채운사장님의 애정이 담긴 공간이에요.아침에는 느릿느릿 일어나서바다가 보이는 마을을 산책하고저녁에는 차귀도를 배경삼아아름다운 노을을 감상할 수 있어요.밤에는 게스트라운지에서기분좋게 술을 기울이며음악을 듣거나 책을 읽을 수도 있어요 ;)오롯이 혼자만의 시간을 가지거나다른 게스트분들과의소소한 대화가 어울리는 공간이에요.답답한 도시에서 벗어나조용하고 한적한 용수리의스테이스며들다에서여유로운 시간을 보내보세요 :)—————————————————🏡'제주 스테이스며들다'🚩주소📍제주시 한경면 용수2길 24-4📆예약문의👉blog.naver.com/stay_permeate⏰체크인 : PM 17:00⏰체크아웃 : AM 10:30📍가격정보📍비수기 평일 2인 기준 90,000📸Photo by @so.xxng @sosojeong_kim @u._.joo전국 감성숙소는 #데일리감성제주 감성숙소는 #데일리감성_제주—————————————————",2021-09-19,14,"['#데일리감성제주', '#데일리감성_제주—————————————————']",스테이스며들다,0,제주특별자치도 제주시 한경면 용수리 4318
9,"경주_황오감성전통적인 아름다움의 한옥 스테이""황오감성""'황오감성'은2019년 6월에 리모델링한깨긋한 숙소로 주변에분황사, 황룡사지터, 동궁과월지, 박물관 등관광지가 가까이 인접해있어요 :)황리단길도 차로 5분 도보로 30분 정도걸리는 위치에 있어 경주 유명 관광지와맛집, 카페등을 구경하기에 편해요.숙소는 전체적으로 정겨운 민박집 느낌이 들며방은 감성1, 감성2, 감성3 총 3개로이루어져있고 주방이 따로 없어주방을 사용해야한다면공동 시설을 이용해주시면 됩니다.마당에는 평상과 항아리 등 정겨운 소품들이옛 시골집 할머니 댁에 온듯한 느낌을 주어한옥과 옛 감성이 조화를 이루고있어요.저렴한 가격에 한옥 감성을 느낄 수있는경주 황오감성에서 조용한 휴식을 취해보세요 :)—————————————————🏡'경주 황오감성'🚩주소📍경북 경주시 임해로 119-6📆예약문의👉airbnb.co.kr/rooms/36538197⏰체크인 : PM 16:00⏰체크아웃 : AM 11:00📍가격정보📍비수기 평일 기준 50,000📸Photo by @anna_camera2 @srt_our @tour.o_전국 감성숙소는 #데일리감성경주 감성숙소는 #데일리감성_경주경상북도로 떠난다면 #데일리감성_경북—————————————————",2021-09-17,11,"['#데일리감성경주', '#데일리감성_경주경상북도로', '#데일리감성_경북—————————————————']",황오감성,0,경상북도 경주시 황오동 5-12
